# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
97.8000 M2 3000000 5 36.8000 p44 p41 299 N p44->p48->p1->p17->p21->p41
206.0000 M7 3000000 1 6.0000 p19 p42 299 N p19->p42
316.0000 M8 3000000 1 88.0000 p43 p28 298 N p43->p28
320.0000 M11 3000000 1 6.0000 p20 p45 299 N p20->p45
320.8000 M5 3000000 2 178.8000 p43 p4 297 N p43->p16->p4
328.0000 M10 3000000 1 42.0000 p18 p13 299 N p18->p13
517.8000 M1 3000000 2 485.8000 p14 p4 291 N p14->p5->p4
536.9000 M4 3000000 3 422.9000 p28 p8 292 N p28->p29->p44->p8
624.5000 M16 3000000 3 172.5000 p26 p30 297 N p26->p18->p13->p30
633.3000 M12 3000000 2 293.3000 p23 p6 295 N p23->p15->p6
660.5000 M17 3000000 2 174.5000 p30 p1 297 N p30->p23->p1
667.2000 M9 3000000 3 406.2000 p44 p40 293 N p44->p29->p5->p40
697.3000 M3 3000000 3 611.3000 p39 p30 289 N p39->p25->p11->p30
742.1000 M6 3000000 4 568.1000 p30 p4 290 N p30->p45->p14->p6->p4
769.3000 M20 3000000 2 198.3000 p23 p42 296 N p23->p15->p42
848.8000 M25 3000000 1 126.8000 p28 p46 297 N p28->p46
849.4000 M24 3000000 4 161.4000 p26 p34 297 N p26->p13->p48->p23->p34
887.7000 M27 3000000 1 114.7000 p1 p44 298 N p1->p44
894.4000 M23 3000000 2 231.4000 p42 p24 296 N p42->p9->p24
918.9000 M30 3000000 1 59.9000 p24 p12 299 N p24->p12
989.3000 M13 3000000 2 623.3000 p2 p23 289 N p2->p37->p23
1008.6000 M29 3000000 1 174.6000 p19 p43 297 N p19->p43
1016.8000 M26 3000000 1 269.8000 p37 p24 295 N p37->p24
1047.0000 M19 3000000 2 503.0000 p2 p48 291 N p2->p37->p48
1053.6000 M18 3000000 4 535.6000 p27 p11 291 N p27->p12->p0->p14->p11
1074.3000 M34 3000000 2 101.3000 p45 p28 298 N p45->p9->p28
1090.6000 M15 3000000 1 670.6000 p2 p36 288 N p2->p36
1149.8000 M35 3000000 2 151.8000 p7 p1 297 N p7->p49->p1
1182.0000 M41 3000000 1 6.0000 p9 p35 299 N p9->p35
1225.1000 M36 3000000 2 198.1000 p30 p16 296 N p30->p6->p16
1229.5000 M28 3000000 3 426.5000 p37 p47 292 N p37->p2->p29->p47
1260.5000 M31 3000000 4 372.5000 p7 p0 293 N p7->p49->p16->p5->p0
1295.2000 M21 3000000 3 691.2000 p31 p44 288 N p31->p36->p49->p44
1406.7000 M39 3000000 3 291.7000 p2 p3 295 N p2->p29->p39->p3
1446.5000 M42 3000000 1 244.5000 p4 p8 295 N p4->p8
1452.5000 M40 3000000 1 308.5000 p4 p3 294 N p4->p3
1471.4000 M22 3000000 6 836.4000 p10 p31 286 N p10->p13->p48->p19->p23->p9->p31
1476.5000 M47 3000000 4 128.5000 p33 p2 297 N p33->p18->p11->p42->p2
1511.0000 M52 3000000 1 6.0000 p11 p33 299 N p11->p33
1545.1000 M38 3000000 2 460.1000 p31 p38 292 N p31->p3->p38
1569.0000 M54 3000000 1 6.0000 p26 p6 299 N p26->p6
1604.5000 M14 3000000 1 1212.5000 p33 p20 279 N p33->p20
1688.9000 M51 3000000 2 216.9000 p17 p11 296 N p17->p31->p11
1690.1000 M49 3000000 1 281.1000 p21 p4 295 N p21->p4
1741.0000 M43 3000000 2 506.0000 p25 p26 291 N p25->p43->p26
1745.8000 M37 3000000 2 685.8000 p11 p39 288 N p11->p18->p39
1756.5000 M53 3000000 3 225.5000 p6 p42 296 N p6->p26->p49->p42
1783.9000 M44 3000000 2 519.9000 p2 p31 291 N p2->p18->p31
1829.4000 M56 3000000 2 202.4000 p11 p5 296 N p11->p27->p5
1919.0000 M32 3000000 4 1004.0000 p11 p32 283 N p11->p18->p2->p49->p32
1921.8000 M63 3000000 2 85.8000 p42 p9 298 N p42->p36->p9
1944.3000 M33 3000000 6 997.3000 p13 p18 283 N p13->p48->p19->p20->p23->p37->p18
1969.6000 M65 3000000 2 75.6000 p24 p2 298 N p24->p39->p2
1976.0000 M60 3000000 1 236.0000 p3 p38 296 N p3->p38
2007.3000 M64 3000000 4 138.3000 p5 p42 297 N p5->p25->p23->p37->p42
2042.7000 M46 3000000 3 720.7000 p16 p38 287 N p16->p5->p25->p38
2072.0000 M57 3000000 2 418.0000 p22 p19 293 N p22->p48->p19
2073.0000 M50 3000000 3 631.0000 p36 p8 289 N p36->p24->p39->p8
2136.5000 M45 3000000 2 841.5000 p44 p1 285 N p44->p49->p1
2156.9000 M69 3000000 1 139.9000 p13 p21 297 N p13->p21
2210.4000 M74 3000000 1 40.4000 p2 p34 299 N p2->p34
2242.8000 M55 3000000 3 646.8000 p0 p25 289 N p0->p46->p10->p25
2276.5000 M66 3000000 1 349.5000 p21 p41 294 N p21->p41
2297.7000 M71 3000000 3 224.7000 p38 p34 296 N p38->p28->p25->p34
2301.5000 M58 3000000 5 615.5000 p37 p7 289 N p37->p23->p20->p17->p47->p7
2315.2000 M61 3000000 2 543.2000 p32 p5 290 N p32->p49->p5
2344.0000 M48 3000000 5 967.0000 p44 p11 283 N p44->p26->p39->p24->p10->p11
2349.9000 M77 3000000 3 84.9000 p2 p28 298 N p2->p39->p25->p28
2362.9000 M72 3000000 5 255.9000 p30 p2 295 N p30->p42->p14->p36->p12->p2
2368.3000 M75 3000000 3 166.3000 p45 p30 297 N p45->p21->p8->p30
2386.4000 M76 3000000 2 153.4000 p28 p21 297 N p28->p38->p21
2421.6000 M82 3000000 1 8.6000 p42 p30 299 N p42->p30
2438.6000 M67 3000000 5 478.6000 p27 p32 292 N p27->p5->p16->p36->p12->p32
2451.9000 M83 3000000 1 9.9000 p0 p23 299 N p0->p23
2531.4000 M68 3000000 3 543.4000 p33 p32 290 N p33->p9->p27->p32
2563.9000 M59 3000000 4 848.9000 p8 p20 285 N p8->p22->p39->p25->p20
2627.3000 M80 3000000 3 265.3000 p14 p33 295 N p14->p19->p12->p33
2633.3000 M73 3000000 3 494.3000 p23 p33 291 N p23->p19->p12->p33
2694.8000 M91 3000000 2 29.8000 p37 p44 299 N p37->p23->p44
2720.4000 M79 3000000 3 392.4000 p11 p27 293 N p11->p22->p3->p27
2747.3000 M85 3000000 2 253.3000 p36 p45 295 N p36->p41->p45
2770.8000 M89 3000000 2 158.8000 p45 p20 297 N p45->p14->p20
2788.0000 M95 3000000 1 6.0000 p33 p29 299 N p33->p29
2799.5000 M70 3000000 3 756.5000 p39 p43 287 N p39->p2->p49->p43
2803.0000 M81 3000000 1 416.0000 p31 p35 293 N p31->p35
2811.6000 M84 3000000 2 344.6000 p26 p34 294 N p26->p27->p34
2816.0000 M96 3000000 1 6.0000 p31 p21 299 N p31->p21
2884.8000 M90 3000000 2 247.8000 p11 p18 295 N p11->p22->p18
2913.2000 M97 3000000 2 73.2000 p46 p25 298 N p46->p37->p25
2980.9000 M62 3000000 2 1175.9000 p7 p12 280 N p7->p20->p12
3028.9000 M92 3000000 1 335.9000 p9 p25 294 N p9->p25
3163.7000 M98 3000000 3 297.7000 p29 p13 295 N p29->p6->p24->p13
3175.3000 M104 3000000 3 132.3000 p17 p46 297 N p17->p31->p49->p46
3203.4000 M102 3000000 2 218.4000 p25 p36 296 N p25->p39->p36
3235.5000 M86 3000000 2 712.5000 p34 p10 288 N p34->p15->p10
3266.3000 M87 3000000 1 711.3000 p19 p29 288 N p19->p29
3270.0000 M105 3000000 2 197.0000 p40 p44 296 N p40->p5->p44
3332.3000 M78 3000000 3 1037.3000 p10 p38 282 N p10->p11->p4->p38
3338.3000 M94 3000000 1 584.3000 p38 p4 290 N p38->p4
3344.3000 M114 3000000 1 9.3000 p37 p2 299 N p37->p2
3369.5000 M112 3000000 2 96.5000 p45 p42 298 N p45->p38->p42
3411.3000 M100 3000000 2 489.3000 p35 p42 291 N p35->p33->p42
3417.3000 M103 3000000 3 404.3000 p9 p20 293 N p9->p43->p35->p20
3447.0000 M107 3000000 2 318.0000 p2 p33 294 N p2->p41->p33
3469.7000 M93 3000000 4 744.7000 p6 p27 287 N p6->p33->p20->p10->p27
3486.9000 M88 3000000 2 899.9000 p31 p3 285 N p31->p1->p3
3492.4000 M99 3000000 3 595.4000 p5 p7 290 N p5->p35->p16->p7
3555.1000 M106 3000000 4 457.1000 p24 p5 292 N p24->p28->p10->p7->p5
3598.4000 M122 3000000 2 12.4000 p6 p9 299 N p6->p47->p9
3632.2000 M123 3000000 1 13.2000 p27 p20 299 N p27->p20
3709.9000 M109 3000000 2 522.9000 p5 p22 291 N p5->p40->p22
3719.1000 M115 3000000 3 357.1000 p35 p39 294 N p35->p16->p28->p39
3721.8000 M126 3000000 2 14.8000 p3 p48 299 N p3->p30->p48
3765.2000 M116 3000000 4 369.2000 p20 p44 293 N p20->p35->p29->p18->p44
3873.2000 M120 3000000 1 350.2000 p40 p48 294 N p40->p48
3877.6000 M121 3000000 4 321.6000 p1 p34 294 N p1->p48->p30->p13->p34
3891.7000 M118 3000000 2 431.7000 p26 p10 292 N p26->p44->p10
3909.8000 M113 3000000 2 605.8000 p31 p22 289 N p31->p9->p22
3951.8000 M134 3000000 1 12.8000 p20 p18 299 N p20->p18
3952.0000 M108 3000000 2 795.0000 p5 p17 286 N p5->p44->p17
3975.1000 M110 3000000 2 761.1000 p45 p17 287 N p45->p21->p17
4008.9000 M119 3000000 2 517.9000 p32 p17 291 N p32->p0->p17
4020.6000 M127 3000000 1 281.6000 p45 p10 295 N p45->p10
4041.0000 M130 3000000 4 215.0000 p16 p40 296 N p16->p5->p9->p15->p40
4086.7000 M125 3000000 4 408.7000 p5 p17 293 N p5->p40->p35->p45->p17
4122.0000 M117 3000000 9 692.0000 p38 p2 288 N p38->p34->p25->p28->p30->p13->p39->p21->p4->p2
4190.5000 M133 3000000 3 280.5000 p41 p18 295 N p41->p34->p30->p18
4196.5000 M129 3000000 4 399.5000 p43 p18 293 N p43->p1->p46->p30->p18
4207.4000 M131 3000000 3 355.4000 p26 p24 294 N p26->p44->p18->p24
4261.9000 M144 3000000 2 37.9000 p38 p43 299 N p38->p40->p43
4413.4000 M101 3000000 7 1460.4000 p34 p32 275 N p34->p25->p28->p30->p13->p39->p0->p32
4419.4000 M111 3000000 3 1175.4000 p4 p32 280 N p4->p45->p0->p32
4468.1000 M140 3000000 2 358.1000 p14 p4 294 N p14->p15->p4
4485.5000 M138 3000000 1 434.5000 p7 p32 292 N p7->p32
4488.9000 M147 3000000 3 173.9000 p30 p14 297 N p30->p17->p26->p14
4497.5000 M132 3000000 2 612.5000 p47 p37 289 N p47->p7->p37
4498.4000 M128 3000000 5 729.4000 p18 p11 287 N p18->p10->p4->p33->p2->p11
4513.1000 M136 3000000 1 519.1000 p7 p36 291 N p7->p36
4516.2000 M142 3000000 3 352.2000 p43 p25 294 N p43->p42->p24->p25
4522.1000 M135 3000000 3 556.1000 p36 p45 290 N p36->p2->p27->p45
4522.1000 M150 3000000 3 114.1000 p42 p36 298 N p42->p40->p15->p36
4529.7000 M146 3000000 2 248.7000 p43 p3 295 N p43->p24->p3
4537.2000 M124 3000000 5 890.2000 p18 p25 285 N p18->p10->p4->p33->p2->p25
4558.8000 M145 3000000 1 302.8000 p2 p13 294 N p2->p13
4644.3000 M155 3000000 3 91.3000 p36 p9 298 N p36->p23->p32->p9
4700.4000 M152 3000000 1 226.4000 p3 p38 296 N p3->p38
4786.7000 M151 3000000 2 344.7000 p22 p47 294 N p22->p5->p47
4837.4000 M159 3000000 1 170.4000 p28 p40 297 N p28->p40
4868.3000 M153 3000000 1 368.3000 p12 p1 293 N p12->p1
4874.3000 M162 3000000 2 129.3000 p24 p12 297 N p24->p1->p12
