# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
122.0000 M1 5000000 3 90.0000 p6 p73 298 N p6->p67->p31->p73
153.7000 M3 5000000 2 67.7000 p16 p38 298 N p16->p23->p38
162.0000 M4 5000000 3 48.0000 p44 p42 299 N p44->p24->p35->p42
164.0000 M2 5000000 2 103.0000 p92 p13 298 N p92->p67->p13
256.7000 M7 5000000 3 56.7000 p40 p91 299 N p40->p71->p54->p91
281.6000 M5 5000000 2 139.6000 p25 p91 297 N p25->p56->p91
298.7000 M9 5000000 1 37.7000 p24 p42 299 N p24->p42
597.0000 M14 5000000 2 201.0000 p26 p79 296 N p26->p29->p79
607.0000 M21 5000000 1 10.0000 p0 p66 299 N p0->p66
673.9000 M22 5000000 4 42.9000 p53 p22 299 N p53->p19->p10->p72->p22
720.2000 M11 5000000 3 406.2000 p97 p36 293 N p97->p92->p2->p36
731.0000 M25 5000000 1 10.0000 p79 p89 299 N p79->p89
766.0000 M12 5000000 2 424.0000 p67 p68 292 N p67->p89->p68
786.0000 M20 5000000 2 219.0000 p10 p96 296 N p10->p19->p96
800.3000 M8 5000000 1 572.3000 p89 p65 290 N p89->p65
804.0000 M27 5000000 2 30.0000 p68 p45 299 N p68->p5->p45
825.9000 M10 5000000 1 539.9000 p70 p6 291 N p70->p6
868.0000 M30 5000000 1 10.0000 p45 p78 299 N p45->p78
910.0000 M24 5000000 1 217.0000 p80 p45 296 N p80->p45
942.1000 M15 5000000 4 514.1000 p83 p57 291 N p83->p64->p36->p59->p57
980.9000 M16 5000000 1 520.9000 p83 p40 291 N p83->p40
997.0000 M6 5000000 2 823.0000 p52 p33 286 N p52->p15->p33
1035.4000 M23 5000000 2 372.4000 p61 p11 293 N p61->p63->p11
1100.2000 M13 5000000 3 733.2000 p35 p41 287 N p35->p60->p38->p41
1108.4000 M31 5000000 2 225.4000 p47 p94 296 N p47->p87->p94
1124.9000 M17 5000000 3 638.9000 p39 p48 289 N p39->p52->p62->p48
1168.6000 M18 5000000 3 656.6000 p9 p37 289 N p9->p96->p41->p37
1192.1000 M40 5000000 3 40.1000 p13 p38 299 N p13->p82->p66->p38
1291.4000 M28 5000000 2 489.4000 p90 p33 291 N p90->p93->p33
1301.4000 M37 5000000 3 233.4000 p42 p33 296 N p42->p52->p56->p33
1309.1000 M26 5000000 2 563.1000 p89 p36 290 N p89->p70->p36
1358.0000 M47 5000000 1 10.0000 p2 p40 299 N p2->p40
1436.3000 M35 5000000 1 435.3000 p53 p50 292 N p53->p50
1506.8000 M19 5000000 1 965.8000 p84 p43 283 N p84->p43
1539.1000 M52 5000000 4 40.1000 p60 p47 299 N p60->p32->p3->p38->p47
1548.0000 M41 5000000 3 366.0000 p67 p80 293 N p67->p55->p15->p80
1573.7000 M46 5000000 2 250.7000 p92 p74 295 N p92->p99->p74
1620.2000 M33 5000000 1 675.2000 p60 p44 288 N p60->p44
1622.1000 M55 5000000 3 30.1000 p45 p51 299 N p45->p74->p77->p51
