# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
175.7000 M2 5000000 1 114.7000 p44 p41 298 N p44->p41
210.0000 M7 5000000 1 10.0000 p19 p42 299 N p19->p42
320.0000 M8 5000000 1 92.0000 p43 p28 298 N p43->p28
324.0000 M11 5000000 1 10.0000 p20 p45 299 N p20->p45
324.8000 M5 5000000 2 182.8000 p43 p4 296 N p43->p16->p4
328.5000 M10 5000000 1 42.5000 p18 p13 299 N p18->p13
527.0000 M1 5000000 2 495.0000 p14 p4 291 N p14->p5->p4
537.1000 M4 5000000 3 423.1000 p28 p8 292 N p28->p29->p44->p8
635.5000 M16 5000000 3 183.5000 p26 p30 296 N p26->p18->p13->p30
655.6000 M12 5000000 2 315.6000 p23 p6 294 N p23->p15->p6
669.2000 M9 5000000 3 408.2000 p44 p40 293 N p44->p29->p5->p40
684.1000 M17 5000000 2 198.1000 p30 p1 296 N p30->p14->p1
701.3000 M3 5000000 3 615.3000 p39 p30 289 N p39->p25->p11->p30
727.8000 M6 5000000 1 553.8000 p30 p4 290 N p30->p4
776.3000 M20 5000000 2 205.3000 p23 p42 296 N p23->p15->p42
826.6000 M24 5000000 3 138.6000 p26 p34 297 N p26->p13->p48->p34
862.0000 M25 5000000 1 140.0000 p28 p46 297 N p28->p46
905.5000 M27 5000000 1 132.5000 p1 p44 297 N p1->p44
908.5000 M23 5000000 3 245.5000 p42 p24 295 N p42->p9->p45->p24
928.6000 M30 5000000 1 69.6000 p24 p12 298 N p24->p12
1012.6000 M29 5000000 1 178.6000 p19 p43 297 N p19->p43
1020.8000 M26 5000000 1 273.8000 p37 p24 295 N p37->p24
1078.2000 M34 5000000 2 105.2000 p45 p28 298 N p45->p9->p28
1105.6000 M15 5000000 1 685.6000 p2 p36 288 N p2->p36
1153.8000 M35 5000000 2 155.8000 p7 p1 297 N p7->p49->p1
1186.0000 M41 5000000 1 10.0000 p9 p35 299 N p9->p35
1229.1000 M36 5000000 2 202.1000 p30 p16 296 N p30->p6->p16
1264.5000 M31 5000000 4 376.5000 p7 p0 293 N p7->p49->p16->p5->p0
1289.3000 M28 5000000 2 486.3000 p37 p47 291 N p37->p0->p47
1410.7000 M39 5000000 3 295.7000 p2 p3 295 N p2->p29->p39->p3
1465.7000 M40 5000000 1 321.7000 p4 p3 294 N p4->p3
1485.7000 M42 5000000 2 283.7000 p4 p8 295 N p4->p38->p8
1516.5000 M52 5000000 1 11.5000 p11 p33 299 N p11->p33
1533.0000 M38 5000000 2 448.0000 p31 p38 292 N p31->p3->p38
1573.0000 M54 5000000 1 10.0000 p26 p6 299 N p26->p6
1616.5000 M14 5000000 1 1224.5000 p33 p20 279 N p33->p20
1618.6000 M22 5000000 2 983.6000 p10 p31 283 N p10->p47->p31
1618.7000 M18 5000000 1 1100.7000 p27 p11 281 N p27->p11
1688.4000 M37 5000000 2 628.4000 p11 p39 289 N p11->p47->p39
1749.1000 M49 5000000 1 340.1000 p21 p4 294 N p21->p4
1767.9000 M53 5000000 3 236.9000 p6 p42 296 N p6->p26->p49->p42
1774.1000 M44 5000000 3 510.1000 p2 p31 291 N p2->p18->p47->p31
1797.9000 M43 5000000 2 562.9000 p25 p26 290 N p25->p43->p26
1833.4000 M56 5000000 2 206.4000 p11 p5 296 N p11->p27->p5
1923.8000 M63 5000000 2 87.8000 p42 p9 298 N p42->p36->p9
1942.6000 M21 5000000 2 1338.6000 p31 p44 277 N p31->p20->p44
1949.9000 M33 5000000 3 1002.9000 p13 p18 283 N p13->p16->p25->p18
1980.0000 M60 5000000 1 240.0000 p3 p38 296 N p3->p38
