# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
93.7000 M2 2000000 5 32.7000 p44 p41 299 N p44->p48->p1->p17->p21->p41
204.0000 M7 2000000 1 4.0000 p19 p42 299 N p19->p42
314.0000 M8 2000000 1 86.0000 p43 p28 298 N p43->p28
318.0000 M11 2000000 1 4.0000 p20 p45 299 N p20->p45
318.8000 M5 2000000 2 176.8000 p43 p4 297 N p43->p16->p4
322.5000 M10 2000000 1 36.5000 p18 p13 299 N p18->p13
515.8000 M1 2000000 2 483.8000 p14 p4 291 N p14->p5->p4
529.6000 M4 2000000 3 415.6000 p28 p8 293 N p28->p29->p44->p8
622.1000 M16 2000000 3 170.1000 p26 p30 297 N p26->p18->p13->p30
631.3000 M12 2000000 2 291.3000 p23 p6 295 N p23->p15->p6
661.2000 M9 2000000 3 400.2000 p44 p40 293 N p44->p29->p5->p40
665.1000 M17 2000000 2 179.1000 p30 p1 297 N p30->p23->p1
695.3000 M3 2000000 3 609.3000 p39 p30 289 N p39->p25->p11->p30
706.2000 M6 2000000 5 532.2000 p30 p4 291 N p30->p23->p15->p48->p44->p4
773.2000 M20 2000000 2 202.2000 p23 p42 296 N p23->p15->p42
818.2000 M24 2000000 3 130.2000 p26 p34 297 N p26->p13->p48->p34
846.8000 M25 2000000 1 124.8000 p28 p46 297 N p28->p46
878.2000 M27 2000000 1 105.2000 p1 p44 298 N p1->p44
890.4000 M23 2000000 3 227.4000 p42 p24 296 N p42->p9->p45->p24
916.9000 M30 2000000 1 57.9000 p24 p12 299 N p24->p12
979.4000 M14 2000000 6 587.4000 p33 p20 290 N p33->p32->p30->p6->p10->p38->p20
982.1000 M13 2000000 2 616.1000 p2 p23 289 N p2->p37->p23
1006.6000 M29 2000000 1 172.6000 p19 p43 297 N p19->p43
1014.8000 M26 2000000 1 267.8000 p37 p24 295 N p37->p24
1048.9000 M19 2000000 2 504.9000 p2 p48 291 N p2->p37->p48
1072.2000 M34 2000000 2 99.2000 p45 p28 298 N p45->p9->p28
1090.5000 M15 2000000 1 670.5000 p2 p36 288 N p2->p36
1095.4000 M18 2000000 3 577.4000 p27 p11 290 N p27->p42->p34->p11
1147.8000 M35 2000000 2 149.8000 p7 p1 297 N p7->p49->p1
1180.0000 M41 2000000 1 4.0000 p9 p35 299 N p9->p35
1219.6000 M31 2000000 3 331.6000 p7 p0 294 N p7->p20->p36->p0
1224.3000 M36 2000000 2 197.3000 p30 p16 296 N p30->p6->p16
1242.1000 M28 2000000 3 439.1000 p37 p47 292 N p37->p2->p29->p47
1293.2000 M21 2000000 4 689.2000 p31 p44 288 N p31->p20->p7->p49->p44
1375.2000 M47 2000000 3 27.2000 p33 p2 299 N p33->p15->p34->p2
1386.9000 M38 2000000 4 301.9000 p31 p38 294 N p31->p3->p35->p17->p38
1401.6000 M42 2000000 2 199.6000 p4 p8 296 N p4->p38->p8
1404.7000 M39 2000000 3 289.7000 p2 p3 295 N p2->p29->p39->p3
1455.1000 M40 2000000 1 311.1000 p4 p3 294 N p4->p3
1470.2000 M22 2000000 3 835.2000 p10 p31 286 N p10->p47->p5->p31
1509.0000 M52 2000000 1 4.0000 p11 p33 299 N p11->p33
1544.4000 M37 2000000 2 484.4000 p11 p39 291 N p11->p10->p39
1567.0000 M54 2000000 1 4.0000 p26 p6 299 N p26->p6
1575.3000 M46 2000000 4 253.3000 p16 p38 295 N p16->p5->p47->p4->p38
1594.6000 M49 2000000 4 185.6000 p21 p4 296 N p21->p45->p37->p20->p4
1685.3000 M51 2000000 2 213.3000 p17 p11 296 N p17->p31->p11
1722.7000 M43 2000000 4 487.7000 p25 p26 291 N p25->p43->p31->p47->p26
1739.8000 M33 2000000 4 792.8000 p13 p18 286 N p13->p17->p31->p47->p18
1752.2000 M44 2000000 5 488.2000 p2 p31 291 N p2->p1->p42->p18->p47->p31
1754.5000 M53 2000000 3 223.5000 p6 p42 296 N p6->p26->p49->p42
1826.2000 M56 2000000 2 199.2000 p11 p5 296 N p11->p27->p5
1886.9000 M32 2000000 3 971.9000 p11 p32 283 N p11->p10->p49->p32
1911.8000 M63 2000000 2 75.8000 p42 p9 298 N p42->p36->p9
1957.3000 M65 2000000 2 63.3000 p24 p2 298 N p24->p39->p2
1977.6000 M60 2000000 1 237.6000 p3 p38 296 N p3->p38
1982.2000 M62 2000000 3 177.2000 p7 p12 297 N p7->p34->p0->p12
2068.7000 M57 2000000 2 414.7000 p22 p19 293 N p22->p48->p19
2071.0000 M50 2000000 3 629.0000 p36 p8 289 N p36->p24->p39->p8
2134.5000 M45 2000000 2 839.5000 p44 p1 286 N p44->p49->p1
2150.2000 M69 2000000 1 133.2000 p13 p21 297 N p13->p21
2184.2000 M74 2000000 1 14.2000 p2 p34 299 N p2->p34
2211.7000 M61 2000000 5 439.7000 p32 p5 292 N p32->p49->p6->p42->p36->p5
2224.5000 M55 2000000 6 628.5000 p0 p25 289 N p0->p12->p9->p37->p2->p39->p25
2256.4000 M76 2000000 2 23.4000 p28 p21 299 N p28->p38->p21
2269.3000 M66 2000000 1 342.3000 p21 p41 294 N p21->p41
2289.1000 M77 2000000 2 24.1000 p2 p28 299 N p2->p39->p28
2296.7000 M71 2000000 3 223.7000 p38 p34 296 N p38->p28->p25->p34
2299.5000 M58 2000000 4 613.5000 p37 p7 289 N p37->p23->p20->p47->p7
2321.9000 M64 2000000 3 452.9000 p5 p42 292 N p5->p16->p13->p42
2333.1000 M48 2000000 9 956.1000 p44 p11 284 N p44->p7->p0->p12->p9->p35->p15->p46->p10->p11
2366.3000 M75 2000000 3 164.3000 p45 p30 297 N p45->p21->p8->p30
2371.6000 M72 2000000 5 264.6000 p30 p2 295 N p30->p42->p14->p36->p12->p2
2419.8000 M82 2000000 1 6.8000 p42 p30 299 N p42->p30
2434.1000 M67 2000000 5 474.1000 p27 p32 292 N p27->p5->p16->p36->p12->p32
2450.0000 M83 2000000 1 8.0000 p0 p23 299 N p0->p23
2527.4000 M68 2000000 3 539.4000 p33 p32 291 N p33->p9->p27->p32
2552.5000 M59 2000000 3 837.5000 p8 p20 286 N p8->p22->p25->p20
2625.3000 M80 2000000 3 263.3000 p14 p33 295 N p14->p19->p12->p33
2629.3000 M73 2000000 3 490.3000 p23 p33 291 N p23->p19->p12->p33
2669.0000 M91 2000000 1 4.0000 p37 p44 299 N p37->p44
2696.8000 M70 2000000 3 653.8000 p39 p43 289 N p39->p20->p31->p43
2714.4000 M79 2000000 3 386.4000 p11 p27 293 N p11->p22->p3->p27
2745.3000 M85 2000000 2 251.3000 p36 p45 295 N p36->p41->p45
2768.8000 M89 2000000 2 156.8000 p45 p20 297 N p45->p14->p20
2786.0000 M95 2000000 1 4.0000 p33 p29 299 N p33->p29
2807.2000 M84 2000000 2 340.2000 p26 p34 294 N p26->p27->p34
2807.6000 M81 2000000 1 420.6000 p31 p35 292 N p31->p35
