# time  ID  size  fromHost  toHost  TTL  isResponse
3907.0000 M134 5000000 p8 p15 300 N 
3937.0000 M135 5000000 p16 p12 300 N 
3966.0000 M136 5000000 p18 p8 300 N 
3996.0000 M137 5000000 p15 p5 300 N 
4021.0000 M138 5000000 p10 p14 300 N 
4050.0000 M139 5000000 p7 p11 300 N 
4080.0000 M140 5000000 p8 p11 300 N 
4110.0000 M141 5000000 p1 p14 300 N 
4142.0000 M142 5000000 p7 p6 300 N 
4167.0000 M143 5000000 p8 p2 300 N 
4198.0000 M144 5000000 p13 p9 300 N 
4225.0000 M145 5000000 p10 p4 300 N 
4253.0000 M146 5000000 p8 p9 300 N 
4280.0000 M147 5000000 p0 p2 300 N 
4309.0000 M148 5000000 p2 p15 300 N 
4338.0000 M149 5000000 p3 p13 300 N 
4372.0000 M150 5000000 p12 p9 300 N 
4401.0000 M151 5000000 p11 p4 300 N 
4432.0000 M152 5000000 p17 p16 300 N 
4463.0000 M153 5000000 p6 p1 300 N 
4492.0000 M154 5000000 p16 p9 300 N 
4517.0000 M155 5000000 p7 p15 300 N 
4544.0000 M156 5000000 p16 p0 300 N 
4570.0000 M157 5000000 p18 p12 300 N 
4595.0000 M158 5000000 p10 p17 300 N 
4621.0000 M159 5000000 p4 p14 300 N 
4655.0000 M160 5000000 p8 p14 300 N 
4686.0000 M161 5000000 p14 p4 300 N 
4718.0000 M162 5000000 p1 p18 300 N 
4751.0000 M163 5000000 p1 p15 300 N 
4779.0000 M164 5000000 p6 p13 300 N 
4810.0000 M165 5000000 p10 p5 300 N 
4835.0000 M166 5000000 p12 p10 300 N 
4860.0000 M167 5000000 p6 p11 300 N 
4893.0000 M168 5000000 p6 p0 300 N 
4927.0000 M169 5000000 p2 p8 300 N 
4955.0000 M170 5000000 p5 p17 300 N 
4980.0000 M171 5000000 p7 p4 300 N 
5010.0000 M172 5000000 p0 p5 300 N 
5044.0000 M173 5000000 p15 p9 300 N 
5069.0000 M174 5000000 p14 p5 300 N 
5100.0000 M175 5000000 p3 p16 300 N 
5129.0000 M176 5000000 p13 p12 300 N 
5159.0000 M177 5000000 p1 p16 300 N 
5185.0000 M178 5000000 p3 p6 300 N 
5218.0000 M179 5000000 p8 p16 300 N 
5250.0000 M180 5000000 p6 p11 300 N 
5276.0000 M181 5000000 p7 p17 300 N 
5302.0000 M182 5000000 p10 p18 300 N 
5329.0000 M183 5000000 p16 p6 300 N 
5360.0000 M184 5000000 p10 p12 300 N 
5385.0000 M185 5000000 p17 p3 300 N 
5413.0000 M186 5000000 p12 p7 300 N 
5440.0000 M187 5000000 p7 p4 300 N 
5472.0000 M188 5000000 p12 p6 300 N 
5503.0000 M189 5000000 p1 p4 300 N 
5535.0000 M190 5000000 p12 p17 300 N 
5569.0000 M191 5000000 p2 p14 300 N 
5595.0000 M192 5000000 p18 p3 300 N 
5620.0000 M193 5000000 p1 p14 300 N 
5650.0000 M194 5000000 p15 p5 300 N 
5684.0000 M195 5000000 p8 p13 300 N 
5717.0000 M196 5000000 p15 p13 300 N 
5744.0000 M197 5000000 p17 p5 300 N 
5771.0000 M198 5000000 p2 p4 300 N 
5796.0000 M199 5000000 p2 p7 300 N 
5829.0000 M200 5000000 p13 p1 300 N 
5855.0000 M201 5000000 p13 p11 300 N 
5889.0000 M202 5000000 p7 p10 300 N 
5923.0000 M203 5000000 p0 p5 300 N 
5953.0000 M204 5000000 p9 p2 300 N 
5985.0000 M205 5000000 p2 p8 300 N 
6014.0000 M206 5000000 p14 p12 300 N 
6041.0000 M207 5000000 p7 p8 300 N 
6073.0000 M208 5000000 p15 p7 300 N 
6100.0000 M209 5000000 p1 p11 300 N 
6134.0000 M210 5000000 p14 p15 300 N 
6161.0000 M211 5000000 p3 p2 300 N 
6190.0000 M212 5000000 p4 p6 300 N 
6216.0000 M213 5000000 p9 p7 300 N 
6244.0000 M214 5000000 p11 p17 300 N 
6277.0000 M215 5000000 p9 p16 300 N 
6309.0000 M216 5000000 p5 p3 300 N 
6337.0000 M217 5000000 p17 p3 300 N 
6369.0000 M218 5000000 p15 p18 300 N 
6399.0000 M219 5000000 p14 p15 300 N 
6430.0000 M220 5000000 p1 p2 300 N 
6462.0000 M221 5000000 p10 p15 300 N 
6493.0000 M222 5000000 p18 p10 300 N 
6520.0000 M223 5000000 p12 p14 300 N 
6553.0000 M224 5000000 p4 p3 300 N 
6583.0000 M225 5000000 p17 p7 300 N 
6613.0000 M226 5000000 p3 p13 300 N 
6642.0000 M227 5000000 p4 p5 300 N 
6676.0000 M228 5000000 p14 p1 300 N 
6706.0000 M229 5000000 p1 p4 300 N 
6732.0000 M230 5000000 p2 p12 300 N 
6763.0000 M231 5000000 p17 p14 300 N 
6788.0000 M232 5000000 p18 p7 300 N 
6817.0000 M233 5000000 p12 p7 300 N 
6844.0000 M234 5000000 p14 p18 300 N 
6869.0000 M235 5000000 p0 p5 300 N 
6900.0000 M236 5000000 p18 p12 300 N 
6925.0000 M237 5000000 p11 p12 300 N 
6950.0000 M238 5000000 p0 p11 300 N 
6983.0000 M239 5000000 p9 p14 300 N 
7016.0000 M240 5000000 p17 p0 300 N 
7046.0000 M241 5000000 p10 p3 300 N 
7076.0000 M242 5000000 p4 p13 300 N 
7102.0000 M243 5000000 p3 p18 300 N 
