# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2669.0000 M91 2000000 1 4.0000 p37 p44 299 N p37->p44
2739.9000 M88 2000000 2 152.9000 p31 p3 297 N p31->p20->p3
2745.3000 M85 2000000 2 251.3000 p36 p45 295 N p36->p41->p45
2783.6000 M81 2000000 1 396.6000 p31 p35 293 N p31->p35
2786.0000 M95 2000000 1 4.0000 p33 p29 299 N p33->p29
2814.0000 M96 2000000 1 4.0000 p31 p21 299 N p31->p21
2881.2000 M90 2000000 2 244.2000 p11 p18 295 N p11->p22->p18
2932.5000 M84 2000000 1 465.5000 p26 p34 292 N p26->p34
2938.8000 M97 2000000 1 98.8000 p46 p25 298 N p46->p25
3020.9000 M92 2000000 1 327.9000 p9 p25 294 N p9->p25
3044.6000 M86 2000000 2 521.6000 p34 p10 291 N p34->p44->p10
3078.8000 M101 2000000 4 125.8000 p34 p32 297 N p34->p37->p46->p7->p32
3098.7000 M94 2000000 3 344.7000 p38 p4 294 N p38->p16->p49->p4
3145.1000 M107 2000000 3 16.1000 p2 p33 299 N p2->p41->p43->p33
3181.3000 M104 2000000 2 138.3000 p17 p46 297 N p17->p31->p46
3201.4000 M102 2000000 2 216.4000 p25 p36 296 N p25->p39->p36
3222.0000 M103 2000000 2 209.0000 p9 p20 296 N p9->p26->p20
3263.2000 M105 2000000 2 190.2000 p40 p44 296 N p40->p5->p44
3339.0000 M114 2000000 1 4.0000 p37 p2 299 N p37->p2
3352.1000 M112 2000000 2 79.1000 p45 p42 298 N p45->p38->p42
3467.7000 M79 2000000 2 1139.7000 p11 p27 281 N p11->p10->p27
3532.0000 M109 2000000 3 345.0000 p5 p22 294 N p5->p9->p35->p22
3546.4000 M99 2000000 1 649.4000 p5 p7 289 N p5->p7
3579.7000 M78 2000000 1 1284.7000 p10 p38 278 N p10->p38
3598.0000 M122 2000000 2 12.0000 p6 p9 299 N p6->p47->p9
3623.0000 M123 2000000 1 4.0000 p27 p20 299 N p27->p20
3690.1000 M98 2000000 2 824.1000 p29 p13 286 N p29->p28->p13
3719.8000 M126 2000000 2 12.8000 p3 p48 299 N p3->p30->p48
3737.3000 M124 2000000 2 90.3000 p18 p25 298 N p18->p40->p25
3826.8000 M100 2000000 1 904.8000 p35 p42 284 N p35->p42
3838.0000 M113 2000000 2 534.0000 p31 p22 291 N p31->p15->p22
3856.0000 M116 2000000 1 460.0000 p20 p44 292 N p20->p44
3871.2000 M120 2000000 1 348.2000 p40 p48 294 N p40->p48
3898.0000 M121 2000000 2 342.0000 p1 p34 294 N p1->p48->p34
3943.0000 M134 2000000 1 4.0000 p20 p18 299 N p20->p18
4006.9000 M119 2000000 2 515.9000 p32 p17 291 N p32->p0->p17
4010.9000 M125 2000000 3 332.9000 p5 p17 294 N p5->p8->p0->p17
4018.6000 M127 2000000 1 279.6000 p45 p10 295 N p45->p10
4070.4000 M110 2000000 1 856.4000 p45 p17 285 N p45->p17
4071.8000 M130 2000000 3 245.8000 p16 p40 295 N p16->p5->p9->p40
4104.5000 M115 2000000 2 742.5000 p35 p39 287 N p35->p33->p39
4199.2000 M131 2000000 2 347.2000 p26 p24 294 N p26->p44->p24
4228.0000 M144 2000000 1 4.0000 p38 p43 299 N p38->p43
4231.6000 M140 2000000 2 121.6000 p14 p4 297 N p14->p30->p4
4244.8000 M129 2000000 1 447.8000 p43 p18 292 N p43->p18
4305.8000 M142 2000000 2 141.8000 p43 p25 297 N p43->p38->p25
4337.7000 M136 2000000 2 343.7000 p7 p36 294 N p7->p31->p36
4360.8000 M133 2000000 2 450.8000 p41 p18 292 N p41->p14->p18
4398.4000 M93 2000000 1 1673.4000 p6 p27 272 N p6->p27
4466.8000 M111 2000000 2 1222.8000 p4 p32 279 N p4->p23->p32
