# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
173.7000 M2 4000000 1 112.7000 p44 p41 298 N p44->p41
208.0000 M7 4000000 1 8.0000 p19 p42 299 N p19->p42
318.0000 M8 4000000 1 90.0000 p43 p28 298 N p43->p28
322.0000 M11 4000000 1 8.0000 p20 p45 299 N p20->p45
322.8000 M5 4000000 2 180.8000 p43 p4 296 N p43->p16->p4
326.5000 M10 4000000 1 40.5000 p18 p13 299 N p18->p13
519.8000 M1 4000000 2 487.8000 p14 p4 291 N p14->p5->p4
603.2000 M16 4000000 3 151.2000 p26 p30 297 N p26->p18->p48->p30
643.7000 M3 4000000 4 557.7000 p39 p30 290 N p39->p25->p22->p38->p30
648.4000 M4 4000000 2 534.4000 p28 p8 291 N p28->p29->p8
682.1000 M17 4000000 3 196.1000 p30 p1 296 N p30->p12->p14->p1
715.2000 M19 4000000 2 171.2000 p2 p48 297 N p2->p1->p48
717.9000 M6 4000000 1 543.9000 p30 p4 290 N p30->p4
724.7000 M12 4000000 1 384.7000 p23 p6 293 N p23->p6
765.7000 M20 4000000 2 194.7000 p23 p42 296 N p23->p15->p42
774.1000 M14 4000000 2 382.1000 p33 p20 293 N p33->p15->p20
850.8000 M25 4000000 1 128.8000 p28 p46 297 N p28->p46
862.5000 M26 4000000 2 115.5000 p37 p24 298 N p37->p43->p24
869.8000 M27 4000000 1 96.8000 p1 p44 298 N p1->p44
892.7000 M23 4000000 3 229.7000 p42 p24 296 N p42->p31->p45->p24
920.9000 M30 4000000 1 61.9000 p24 p12 298 N p24->p12
950.2000 M24 4000000 2 262.2000 p26 p34 295 N p26->p13->p34
1010.6000 M29 4000000 1 176.6000 p19 p43 297 N p19->p43
1049.9000 M31 4000000 2 161.9000 p7 p0 297 N p7->p42->p0
1057.4000 M9 4000000 1 796.4000 p44 p40 286 N p44->p40
1076.2000 M34 4000000 2 103.2000 p45 p28 298 N p45->p9->p28
1092.2000 M15 4000000 1 672.2000 p2 p36 288 N p2->p36
1151.8000 M35 4000000 2 153.8000 p7 p1 297 N p7->p49->p1
1172.5000 M37 4000000 3 112.5000 p11 p39 298 N p11->p14->p0->p39
1184.0000 M41 4000000 1 8.0000 p9 p35 299 N p9->p35
1227.1000 M36 4000000 2 200.1000 p30 p16 296 N p30->p6->p16
1228.6000 M40 4000000 3 84.6000 p4 p3 298 N p4->p25->p43->p3
1232.1000 M42 4000000 3 30.1000 p4 p8 299 N p4->p38->p13->p8
1277.1000 M28 4000000 2 474.1000 p37 p47 292 N p37->p0->p47
1408.7000 M39 4000000 3 293.7000 p2 p3 295 N p2->p29->p39->p3
1513.0000 M52 4000000 1 8.0000 p11 p33 299 N p11->p33
1531.0000 M38 4000000 2 446.0000 p31 p38 292 N p31->p3->p38
1571.0000 M54 4000000 1 8.0000 p26 p6 299 N p26->p6
1595.7000 M22 4000000 2 960.7000 p10 p31 283 N p10->p47->p31
1608.0000 M49 4000000 1 199.0000 p21 p4 296 N p21->p4
1659.0000 M13 4000000 2 1293.0000 p2 p23 278 N p2->p21->p23
1771.1000 M53 4000000 1 240.1000 p6 p42 295 N p6->p42
1809.1000 M44 4000000 3 545.1000 p2 p31 290 N p2->p36->p24->p31
1830.2000 M56 4000000 2 203.2000 p11 p5 296 N p11->p27->p5
1885.0000 M43 4000000 1 650.0000 p25 p26 289 N p25->p26
1912.7000 M63 4000000 2 76.7000 p42 p9 298 N p42->p36->p9
1978.0000 M60 4000000 1 238.0000 p3 p38 296 N p3->p38
2044.7000 M62 4000000 2 239.7000 p7 p12 296 N p7->p34->p12
2072.7000 M57 4000000 2 418.7000 p22 p19 293 N p22->p48->p19
2152.7000 M33 4000000 1 1205.7000 p13 p18 279 N p13->p18
2160.7000 M69 4000000 1 143.7000 p13 p21 297 N p13->p21
2162.6000 M50 4000000 1 720.6000 p36 p8 287 N p36->p8
2186.0000 M74 4000000 1 16.0000 p2 p34 299 N p2->p34
2244.8000 M66 4000000 2 317.8000 p21 p41 294 N p21->p26->p41
2257.0000 M76 4000000 2 24.0000 p28 p21 299 N p28->p45->p21
2317.2000 M61 4000000 2 545.2000 p32 p5 290 N p32->p49->p5
2346.1000 M46 4000000 1 1024.1000 p16 p38 282 N p16->p38
2356.3000 M64 4000000 1 487.3000 p5 p42 291 N p5->p42
2413.9000 M32 4000000 2 1498.9000 p11 p32 275 N p11->p8->p32
2421.0000 M82 4000000 1 8.0000 p42 p30 299 N p42->p30
2429.0000 M75 4000000 4 227.0000 p45 p30 296 N p45->p21->p18->p8->p30
2450.0000 M83 4000000 1 8.0000 p0 p23 299 N p0->p23
2502.8000 M77 4000000 2 237.8000 p2 p28 296 N p2->p6->p28
2530.9000 M67 4000000 1 570.9000 p27 p32 290 N p27->p32
2556.7000 M72 4000000 1 449.7000 p30 p2 292 N p30->p2
2579.1000 M87 4000000 3 24.1000 p19 p29 299 N p19->p12->p3->p29
2582.2000 M68 4000000 2 594.2000 p33 p32 290 N p33->p9->p32
2687.1000 M91 4000000 2 22.1000 p37 p44 299 N p37->p23->p44
2723.0000 M58 4000000 1 1037.0000 p37 p7 282 N p37->p7
2743.9000 M88 4000000 2 156.9000 p31 p3 297 N p31->p20->p3
2787.6000 M81 4000000 1 400.6000 p31 p35 293 N p31->p35
2790.0000 M95 4000000 1 8.0000 p33 p29 299 N p33->p29
2818.0000 M96 4000000 1 8.0000 p31 p21 299 N p31->p21
2885.2000 M90 4000000 2 248.2000 p11 p18 295 N p11->p22->p18
2897.1000 M65 4000000 2 1003.1000 p24 p2 283 N p24->p47->p2
2898.5000 M97 4000000 2 58.5000 p46 p25 299 N p46->p37->p25
2936.5000 M84 4000000 1 469.5000 p26 p34 292 N p26->p34
2956.8000 M79 4000000 3 628.8000 p11 p27 289 N p11->p4->p46->p27
2988.7000 M70 4000000 1 945.7000 p39 p43 284 N p39->p43
3024.9000 M92 4000000 1 331.9000 p9 p25 294 N p9->p25
3188.7000 M94 4000000 2 434.7000 p38 p4 292 N p38->p16->p4
3205.4000 M102 4000000 2 220.4000 p25 p36 296 N p25->p39->p36
3226.0000 M103 4000000 2 213.0000 p9 p20 296 N p9->p26->p20
3237.8000 M104 4000000 1 194.8000 p17 p46 296 N p17->p46
3271.2000 M105 4000000 2 198.2000 p40 p44 296 N p40->p5->p44
3343.0000 M114 4000000 1 8.0000 p37 p2 299 N p37->p2
3343.6000 M71 4000000 1 1270.6000 p38 p34 278 N p38->p34
3356.1000 M112 4000000 2 83.1000 p45 p42 298 N p45->p38->p42
3454.1000 M117 4000000 3 24.1000 p38 p2 299 N p38->p34->p23->p2
3534.4000 M80 4000000 1 1172.4000 p14 p33 280 N p14->p33
3542.5000 M107 4000000 2 413.5000 p2 p33 293 N p2->p41->p33
3583.7000 M78 4000000 1 1288.7000 p10 p38 278 N p10->p38
3602.0000 M122 4000000 2 16.0000 p6 p9 299 N p6->p47->p9
