# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
145.0000 M2 5000000 1 84.0000 p74 p16 298 N p74->p16
301.2000 M9 5000000 4 40.2000 p77 p16 299 N p77->p0->p27->p65->p16
513.9000 M8 5000000 2 285.9000 p28 p47 295 N p28->p55->p47
574.1000 M7 5000000 2 374.1000 p73 p49 293 N p73->p62->p49
601.0000 M20 5000000 2 30.0000 p7 p63 299 N p7->p76->p63
684.7000 M15 5000000 4 264.7000 p65 p59 295 N p65->p16->p22->p21->p59
686.6000 M3 5000000 2 600.6000 p37 p3 289 N p37->p7->p3
741.3000 M16 5000000 4 289.3000 p30 p67 295 N p30->p43->p71->p13->p67
786.8000 M1 5000000 6 754.8000 p32 p9 287 N p32->p43->p50->p28->p19->p31->p9
833.7000 M22 5000000 2 198.7000 p5 p56 296 N p5->p22->p56
834.0000 M25 5000000 2 112.0000 p39 p77 298 N p39->p35->p77
854.0000 M11 5000000 3 540.0000 p36 p27 290 N p36->p14->p75->p27
868.2000 M4 5000000 3 754.2000 p9 p36 287 N p9->p70->p7->p36
876.4000 M26 5000000 2 129.4000 p74 p31 297 N p74->p65->p31
896.6000 M23 5000000 2 233.6000 p41 p74 296 N p41->p79->p74
908.0000 M31 5000000 1 20.0000 p12 p35 299 N p12->p35
918.2000 M10 5000000 3 632.2000 p40 p25 289 N p40->p19->p2->p25
959.8000 M17 5000000 3 473.8000 p63 p73 292 N p63->p42->p62->p73
987.5000 M13 5000000 4 621.5000 p61 p62 289 N p61->p6->p13->p19->p62
998.2000 M5 5000000 4 856.2000 p40 p52 285 N p40->p67->p75->p24->p52
1008.0000 M35 5000000 1 10.0000 p4 p71 299 N p4->p71
1008.6000 M28 5000000 3 205.6000 p50 p46 296 N p50->p53->p37->p46
1040.3000 M27 5000000 4 267.3000 p47 p63 295 N p47->p17->p44->p68->p63
1044.3000 M14 5000000 2 652.3000 p53 p13 289 N p53->p37->p13
1070.4000 M18 5000000 3 552.4000 p40 p11 290 N p40->p54->p3->p11
1193.6000 M37 5000000 3 133.6000 p4 p11 297 N p4->p12->p16->p11
1222.1000 M42 5000000 2 20.1000 p22 p35 299 N p22->p49->p35
1233.7000 M6 5000000 2 1059.7000 p48 p58 282 N p48->p28->p58
1263.6000 M12 5000000 3 923.6000 p25 p14 284 N p25->p75->p12->p14
1286.7000 M24 5000000 3 598.7000 p15 p7 290 N p15->p50->p53->p7
1295.9000 M19 5000000 3 751.9000 p64 p5 287 N p64->p37->p12->p5
1306.8000 M45 5000000 1 11.8000 p3 p68 299 N p3->p68
1332.0000 M46 5000000 1 10.0000 p78 p33 299 N p78->p33
