# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
144.0000 M2 5000000 5 83.0000 p92 p13 298 N p92->p67->p89->p24->p35->p13
153.7000 M3 5000000 2 67.7000 p16 p38 298 N p16->p23->p38
162.0000 M4 5000000 3 48.0000 p44 p42 299 N p44->p24->p35->p42
242.6000 M1 5000000 4 210.6000 p6 p73 296 N p6->p89->p24->p44->p73
256.7000 M7 5000000 3 56.7000 p40 p91 299 N p40->p71->p54->p91
298.7000 M9 5000000 1 37.7000 p24 p42 299 N p24->p42
405.7000 M5 5000000 2 263.7000 p25 p91 295 N p25->p42->p91
465.1000 M11 5000000 3 151.1000 p97 p36 297 N p97->p63->p92->p36
589.9000 M14 5000000 2 193.9000 p26 p79 296 N p26->p29->p79
607.0000 M21 5000000 1 10.0000 p0 p66 299 N p0->p66
731.0000 M25 5000000 1 10.0000 p79 p89 299 N p79->p89
761.1000 M8 5000000 2 533.1000 p89 p65 291 N p89->p70->p65
761.1000 M12 5000000 2 419.1000 p67 p68 293 N p67->p89->p68
784.9000 M20 5000000 1 217.9000 p10 p96 296 N p10->p96
805.1000 M27 5000000 3 31.1000 p68 p45 299 N p68->p74->p5->p45
843.0000 M10 5000000 1 557.0000 p70 p6 290 N p70->p6
878.9000 M6 5000000 4 704.9000 p52 p33 288 N p52->p15->p16->p77->p33
894.4000 M30 5000000 1 36.4000 p45 p78 299 N p45->p78
910.0000 M24 5000000 1 217.0000 p80 p45 296 N p80->p45
989.8000 M23 5000000 3 326.8000 p61 p11 294 N p61->p76->p80->p11
996.9000 M16 5000000 1 536.9000 p83 p40 291 N p83->p40
1037.8000 M13 5000000 5 670.8000 p35 p41 288 N p35->p99->p8->p74->p68->p41
1038.7000 M22 5000000 2 407.7000 p53 p22 293 N p53->p39->p22
1068.3000 M18 5000000 3 556.3000 p9 p37 290 N p9->p96->p4->p37
1108.4000 M31 5000000 2 225.4000 p47 p94 296 N p47->p87->p94
1125.0000 M17 5000000 3 639.0000 p39 p48 289 N p39->p52->p62->p48
1216.9000 M28 5000000 3 414.9000 p90 p33 293 N p90->p93->p46->p33
1313.6000 M26 5000000 2 567.6000 p89 p36 290 N p89->p70->p36
1315.5000 M40 5000000 2 163.5000 p13 p38 297 N p13->p83->p38
1371.6000 M47 5000000 1 23.6000 p2 p40 299 N p2->p40
1388.9000 M29 5000000 3 559.9000 p12 p65 290 N p12->p7->p67->p65
1445.0000 M35 5000000 1 444.0000 p53 p50 292 N p53->p50
1477.8000 M41 5000000 4 295.8000 p67 p80 295 N p67->p55->p15->p33->p80
1506.8000 M19 5000000 4 965.8000 p84 p43 283 N p84->p16->p23->p87->p43
1538.6000 M33 5000000 2 593.6000 p60 p44 290 N p60->p53->p44
1573.7000 M46 5000000 2 250.7000 p92 p74 295 N p92->p99->p74
1645.1000 M15 5000000 5 1217.1000 p83 p57 279 N p83->p64->p95->p54->p66->p57
1654.1000 M55 5000000 2 62.1000 p45 p51 298 N p45->p74->p51
1656.0000 M45 5000000 2 359.0000 p3 p1 294 N p3->p16->p1
1680.2000 M56 5000000 1 58.2000 p64 p18 299 N p64->p18
1710.4000 M44 5000000 3 444.4000 p21 p11 292 N p21->p75->p51->p11
1721.6000 M36 5000000 3 687.6000 p24 p71 288 N p24->p93->p40->p71
1762.6000 M57 5000000 2 106.6000 p92 p47 298 N p92->p87->p47
1779.2000 M38 5000000 3 686.2000 p34 p12 288 N p34->p68->p88->p12
1819.4000 M62 5000000 1 15.4000 p26 p96 299 N p26->p96
1863.1000 M58 5000000 2 176.1000 p56 p96 297 N p56->p23->p96
1877.7000 M54 5000000 3 318.7000 p4 p80 294 N p4->p7->p44->p80
1894.7000 M42 5000000 5 685.7000 p37 p78 288 N p37->p50->p96->p10->p27->p78
1912.9000 M51 5000000 6 443.9000 p78 p23 292 N p78->p18->p89->p21->p86->p64->p23
1933.0000 M66 5000000 1 10.0000 p11 p14 299 N p11->p14
1934.9000 M64 5000000 2 76.9000 p38 p71 298 N p38->p96->p71
1967.5000 M32 5000000 3 1053.5000 p98 p52 282 N p98->p76->p77->p52
1975.8000 M49 5000000 2 570.8000 p69 p48 290 N p69->p93->p48
1985.8000 M59 5000000 2 266.8000 p69 p11 295 N p69->p93->p11
2005.9000 M43 5000000 3 765.9000 p25 p18 287 N p25->p48->p45->p18
2024.0000 M69 5000000 1 10.0000 p91 p17 299 N p91->p17
2027.1000 M50 5000000 2 591.1000 p40 p53 290 N p40->p66->p53
2059.5000 M70 5000000 1 14.5000 p44 p39 299 N p44->p39
2071.5000 M52 5000000 4 572.5000 p60 p47 290 N p60->p85->p54->p42->p47
2080.3000 M34 5000000 3 1107.3000 p2 p9 281 N p2->p15->p33->p9
2116.0000 M61 5000000 2 337.0000 p34 p57 294 N p34->p5->p57
