# time  ID  size  fromHost  toHost  TTL  isResponse
32.0000 M1 5000000 p0 p34 300 N 
61.0000 M2 5000000 p35 p4 300 N 
86.0000 M3 5000000 p1 p38 300 N 
114.0000 M4 5000000 p26 p15 300 N 
142.0000 M5 5000000 p22 p28 300 N 
174.0000 M6 5000000 p28 p36 300 N 
200.0000 M7 5000000 p7 p31 300 N 
228.0000 M8 5000000 p35 p8 300 N 
261.0000 M9 5000000 p3 p30 300 N 
286.0000 M10 5000000 p28 p18 300 N 
314.0000 M11 5000000 p4 p16 300 N 
340.0000 M12 5000000 p17 p1 300 N 
366.0000 M13 5000000 p16 p8 300 N 
392.0000 M14 5000000 p11 p2 300 N 
420.0000 M15 5000000 p5 p2 300 N 
452.0000 M16 5000000 p28 p20 300 N 
486.0000 M17 5000000 p5 p18 300 N 
518.0000 M18 5000000 p5 p18 300 N 
544.0000 M19 5000000 p35 p33 300 N 
571.0000 M20 5000000 p11 p28 300 N 
604.0000 M21 5000000 p37 p0 300 N 
635.0000 M22 5000000 p4 p20 300 N 
663.0000 M23 5000000 p6 p37 300 N 
688.0000 M24 5000000 p36 p2 300 N 
722.0000 M25 5000000 p26 p25 300 N 
747.0000 M26 5000000 p21 p23 300 N 
773.0000 M27 5000000 p33 p38 300 N 
803.0000 M28 5000000 p36 p18 300 N 
834.0000 M29 5000000 p21 p6 300 N 
859.0000 M30 5000000 p35 p33 300 N 
888.0000 M31 5000000 p11 p8 300 N 
915.0000 M32 5000000 p24 p17 300 N 
947.0000 M33 5000000 p16 p35 300 N 
973.0000 M34 5000000 p32 p37 300 N 
998.0000 M35 5000000 p24 p32 300 N 
1027.0000 M36 5000000 p5 p27 300 N 
1060.0000 M37 5000000 p35 p0 300 N 
1085.0000 M38 5000000 p24 p25 300 N 
1115.0000 M39 5000000 p18 p38 300 N 
1144.0000 M40 5000000 p9 p34 300 N 
1176.0000 M41 5000000 p38 p22 300 N 
1202.0000 M42 5000000 p5 p0 300 N 
1235.0000 M43 5000000 p0 p26 300 N 
1264.0000 M44 5000000 p21 p7 300 N 
1295.0000 M45 5000000 p32 p24 300 N 
1322.0000 M46 5000000 p16 p33 300 N 
1348.0000 M47 5000000 p26 p18 300 N 
1377.0000 M48 5000000 p10 p30 300 N 
1409.0000 M49 5000000 p25 p9 300 N 
1442.0000 M50 5000000 p15 p0 300 N 
1467.0000 M51 5000000 p2 p10 300 N 
1494.0000 M52 5000000 p11 p33 300 N 
1524.0000 M53 5000000 p29 p37 300 N 
1550.0000 M54 5000000 p35 p24 300 N 
1576.0000 M55 5000000 p2 p6 300 N 
1609.0000 M56 5000000 p12 p5 300 N 
1641.0000 M57 5000000 p27 p37 300 N 
1667.0000 M58 5000000 p11 p24 300 N 
1699.0000 M59 5000000 p21 p20 300 N 
1731.0000 M60 5000000 p38 p33 300 N 
1764.0000 M61 5000000 p34 p7 300 N 
1790.0000 M62 5000000 p18 p17 300 N 
1817.0000 M63 5000000 p36 p14 300 N 
1849.0000 M64 5000000 p11 p7 300 N 
