# time  ID  size  fromHost  toHost  TTL  isResponse
32.0000 M1 5000000 p32 p9 300 N 
61.0000 M2 5000000 p74 p16 300 N 
86.0000 M3 5000000 p37 p3 300 N 
114.0000 M4 5000000 p9 p36 300 N 
142.0000 M5 5000000 p40 p52 300 N 
174.0000 M6 5000000 p48 p58 300 N 
200.0000 M7 5000000 p73 p49 300 N 
228.0000 M8 5000000 p28 p47 300 N 
261.0000 M9 5000000 p77 p16 300 N 
286.0000 M10 5000000 p40 p25 300 N 
314.0000 M11 5000000 p36 p27 300 N 
340.0000 M12 5000000 p25 p14 300 N 
366.0000 M13 5000000 p61 p62 300 N 
392.0000 M14 5000000 p53 p13 300 N 
420.0000 M15 5000000 p65 p59 300 N 
452.0000 M16 5000000 p30 p67 300 N 
486.0000 M17 5000000 p63 p73 300 N 
518.0000 M18 5000000 p40 p11 300 N 
544.0000 M19 5000000 p64 p5 300 N 
571.0000 M20 5000000 p7 p63 300 N 
604.0000 M21 5000000 p8 p1 300 N 
635.0000 M22 5000000 p5 p56 300 N 
663.0000 M23 5000000 p41 p74 300 N 
688.0000 M24 5000000 p15 p7 300 N 
722.0000 M25 5000000 p39 p77 300 N 
747.0000 M26 5000000 p74 p31 300 N 
773.0000 M27 5000000 p47 p63 300 N 
803.0000 M28 5000000 p50 p46 300 N 
834.0000 M29 5000000 p66 p1 300 N 
859.0000 M30 5000000 p38 p18 300 N 
888.0000 M31 5000000 p12 p35 300 N 
915.0000 M32 5000000 p9 p65 300 N 
947.0000 M33 5000000 p69 p9 300 N 
973.0000 M34 5000000 p32 p66 300 N 
998.0000 M35 5000000 p4 p71 300 N 
1027.0000 M36 5000000 p10 p63 300 N 
1060.0000 M37 5000000 p4 p11 300 N 
1085.0000 M38 5000000 p4 p0 300 N 
1115.0000 M39 5000000 p44 p50 300 N 
1144.0000 M40 5000000 p16 p71 300 N 
1176.0000 M41 5000000 p73 p59 300 N 
1202.0000 M42 5000000 p22 p35 300 N 
1235.0000 M43 5000000 p57 p45 300 N 
1264.0000 M44 5000000 p35 p68 300 N 
1295.0000 M45 5000000 p3 p68 300 N 
1322.0000 M46 5000000 p78 p33 300 N 
1348.0000 M47 5000000 p77 p19 300 N 
1377.0000 M48 5000000 p60 p16 300 N 
1409.0000 M49 5000000 p56 p44 300 N 
1442.0000 M50 5000000 p67 p15 300 N 
1467.0000 M51 5000000 p12 p34 300 N 
1494.0000 M52 5000000 p76 p50 300 N 
1524.0000 M53 5000000 p29 p66 300 N 
1550.0000 M54 5000000 p8 p67 300 N 
1576.0000 M55 5000000 p73 p33 300 N 
1609.0000 M56 5000000 p43 p72 300 N 
1641.0000 M57 5000000 p24 p10 300 N 
1667.0000 M58 5000000 p19 p35 300 N 
1699.0000 M59 5000000 p41 p39 300 N 
1731.0000 M60 5000000 p78 p23 300 N 
1764.0000 M61 5000000 p2 p10 300 N 
1790.0000 M62 5000000 p69 p5 300 N 
1817.0000 M63 5000000 p12 p24 300 N 
1849.0000 M64 5000000 p26 p32 300 N 
1877.0000 M65 5000000 p78 p65 300 N 
1909.0000 M66 5000000 p39 p70 300 N 
1940.0000 M67 5000000 p54 p65 300 N 
1965.0000 M68 5000000 p26 p55 300 N 
1994.0000 M69 5000000 p27 p7 300 N 
2020.0000 M70 5000000 p16 p59 300 N 
2050.0000 M71 5000000 p22 p9 300 N 
