# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
145.0000 M2 5000000 1 84.0000 p74 p16 298 N p74->p16
241.1000 M5 5000000 3 99.1000 p40 p52 298 N p40->p60->p66->p52
301.2000 M9 5000000 3 40.2000 p77 p16 299 N p77->p27->p65->p16
560.5000 M6 5000000 4 386.5000 p48 p58 293 N p48->p11->p55->p46->p58
574.1000 M7 5000000 2 374.1000 p73 p49 293 N p73->p62->p49
598.5000 M8 5000000 3 370.5000 p28 p47 293 N p28->p19->p32->p47
601.0000 M20 5000000 2 30.0000 p7 p63 299 N p7->p5->p63
684.1000 M3 5000000 2 598.1000 p37 p3 290 N p37->p7->p3
712.3000 M16 5000000 3 260.3000 p30 p67 295 N p30->p43->p13->p67
766.7000 M25 5000000 1 44.7000 p39 p77 299 N p39->p77
787.4000 M13 5000000 3 421.4000 p61 p62 292 N p61->p57->p71->p62
788.3000 M1 5000000 2 756.3000 p32 p9 287 N p32->p30->p9
807.3000 M27 5000000 3 34.3000 p47 p63 299 N p47->p17->p65->p63
819.9000 M26 5000000 3 72.9000 p74 p31 298 N p74->p65->p17->p31
827.4000 M23 5000000 2 164.4000 p41 p74 297 N p41->p79->p74
833.7000 M22 5000000 2 198.7000 p5 p56 296 N p5->p22->p56
870.5000 M11 5000000 2 556.5000 p36 p27 290 N p36->p35->p27
908.0000 M31 5000000 1 20.0000 p12 p35 299 N p12->p35
959.8000 M17 5000000 2 473.8000 p63 p73 292 N p63->p62->p73
993.0000 M4 5000000 2 879.0000 p9 p36 285 N p9->p70->p36
1008.0000 M35 5000000 1 10.0000 p4 p71 299 N p4->p71
1026.9000 M28 5000000 2 223.9000 p50 p46 296 N p50->p53->p46
1030.2000 M21 5000000 2 426.2000 p8 p1 292 N p8->p48->p1
1082.2000 M18 5000000 2 564.2000 p40 p11 290 N p40->p54->p11
1150.2000 M14 5000000 2 758.2000 p53 p13 287 N p53->p15->p13
1191.1000 M37 5000000 3 131.1000 p4 p11 297 N p4->p12->p16->p11
1222.1000 M42 5000000 2 20.1000 p22 p35 299 N p22->p49->p35
1235.6000 M38 5000000 3 150.6000 p4 p0 297 N p4->p65->p8->p0
1242.8000 M36 5000000 4 215.8000 p10 p63 296 N p10->p52->p20->p78->p63
1266.0000 M43 5000000 2 31.0000 p57 p45 299 N p57->p47->p45
1315.0000 M45 5000000 1 20.0000 p3 p68 299 N p3->p68
1324.1000 M24 5000000 1 636.1000 p15 p7 289 N p15->p7
1332.0000 M46 5000000 1 10.0000 p78 p33 299 N p78->p33
1364.0000 M12 5000000 2 1024.0000 p25 p14 282 N p25->p23->p14
1377.0000 M10 5000000 2 1091.0000 p40 p25 281 N p40->p54->p25
1407.2000 M48 5000000 3 30.2000 p60 p16 299 N p60->p76->p79->p16
1409.3000 M19 5000000 1 865.3000 p64 p5 285 N p64->p5
1439.9000 M41 5000000 2 263.9000 p73 p59 295 N p73->p31->p59
1462.0000 M50 5000000 2 20.0000 p67 p15 299 N p67->p55->p15
