# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2905.0000 M97 4000000 2 65.0000 p46 p25 298 N p46->p37->p25
2909.1000 M51 4000000 3 1437.1000 p17 p11 276 N p17->p31->p32->p11
2925.5000 M37 4000000 4 1865.5000 p11 p39 268 N p11->p23->p48->p40->p39
2985.9000 M62 4000000 2 1180.9000 p7 p12 280 N p7->p20->p12
3024.9000 M92 4000000 1 331.9000 p9 p25 294 N p9->p25
3175.2000 M104 4000000 3 132.2000 p17 p46 297 N p17->p31->p49->p46
3209.1000 M102 4000000 2 224.1000 p25 p36 296 N p25->p39->p36
3237.5000 M86 4000000 2 714.5000 p34 p10 288 N p34->p15->p10
3268.3000 M87 4000000 1 713.3000 p19 p29 288 N p19->p29
3273.9000 M105 4000000 2 200.9000 p40 p44 296 N p40->p5->p44
3343.3000 M114 4000000 1 8.3000 p37 p2 299 N p37->p2
3375.0000 M78 4000000 5 1080.0000 p10 p38 282 N p10->p11->p46->p15->p23->p38
3421.1000 M103 4000000 2 408.1000 p9 p20 293 N p9->p48->p20
3434.0000 M100 4000000 2 512.0000 p35 p42 291 N p35->p33->p42
3448.9000 M107 4000000 2 319.9000 p2 p33 294 N p2->p41->p33
3483.7000 M115 4000000 3 121.7000 p35 p39 297 N p35->p16->p46->p39
3484.1000 M88 4000000 2 897.1000 p31 p3 285 N p31->p1->p3
3499.8000 M94 4000000 2 745.8000 p38 p4 287 N p38->p2->p4
3541.1000 M76 4000000 2 1308.1000 p28 p21 278 N p28->p4->p21
3541.8000 M89 4000000 3 929.8000 p45 p20 284 N p45->p14->p38->p20
3618.1000 M122 4000000 2 32.1000 p6 p9 299 N p6->p47->p9
3619.9000 M112 4000000 2 346.9000 p45 p42 294 N p45->p21->p42
3672.0000 M123 4000000 2 53.0000 p27 p20 299 N p27->p36->p20
3723.8000 M126 4000000 2 16.8000 p3 p48 299 N p3->p30->p48
3759.0000 M98 4000000 3 893.0000 p29 p13 285 N p29->p28->p19->p13
3868.3000 M116 4000000 1 472.3000 p20 p44 292 N p20->p44
3876.3000 M118 4000000 2 416.3000 p26 p10 293 N p26->p44->p10
3905.2000 M121 4000000 2 349.2000 p1 p34 294 N p1->p48->p34
3919.1000 M120 4000000 1 396.1000 p40 p48 293 N p40->p48
3956.7000 M134 4000000 1 17.7000 p20 p18 299 N p20->p18
3988.5000 M110 4000000 2 774.5000 p45 p17 287 N p45->p21->p17
4010.9000 M119 4000000 2 519.9000 p32 p17 291 N p32->p0->p17
4028.9000 M127 4000000 1 289.9000 p45 p10 295 N p45->p10
4192.5000 M133 4000000 3 282.5000 p41 p18 295 N p41->p34->p30->p18
