# time  ID  size  fromHost  toHost  TTL  isResponse
32.0000 M1 4000000 p14 p4 300 N 
61.0000 M2 4000000 p44 p41 300 N 
86.0000 M3 4000000 p39 p30 300 N 
114.0000 M4 4000000 p28 p8 300 N 
142.0000 M5 4000000 p43 p4 300 N 
174.0000 M6 4000000 p30 p4 300 N 
200.0000 M7 4000000 p19 p42 300 N 
228.0000 M8 4000000 p43 p28 300 N 
261.0000 M9 4000000 p44 p40 300 N 
286.0000 M10 4000000 p18 p13 300 N 
314.0000 M11 4000000 p20 p45 300 N 
340.0000 M12 4000000 p23 p6 300 N 
366.0000 M13 4000000 p2 p23 300 N 
392.0000 M14 4000000 p33 p20 300 N 
420.0000 M15 4000000 p2 p36 300 N 
452.0000 M16 4000000 p26 p30 300 N 
486.0000 M17 4000000 p30 p1 300 N 
518.0000 M18 4000000 p27 p11 300 N 
544.0000 M19 4000000 p2 p48 300 N 
571.0000 M20 4000000 p23 p42 300 N 
604.0000 M21 4000000 p31 p44 300 N 
635.0000 M22 4000000 p10 p31 300 N 
663.0000 M23 4000000 p42 p24 300 N 
688.0000 M24 4000000 p26 p34 300 N 
722.0000 M25 4000000 p28 p46 300 N 
747.0000 M26 4000000 p37 p24 300 N 
773.0000 M27 4000000 p1 p44 300 N 
803.0000 M28 4000000 p37 p47 300 N 
834.0000 M29 4000000 p19 p43 300 N 
859.0000 M30 4000000 p24 p12 300 N 
888.0000 M31 4000000 p7 p0 300 N 
915.0000 M32 4000000 p11 p32 300 N 
947.0000 M33 4000000 p13 p18 300 N 
973.0000 M34 4000000 p45 p28 300 N 
998.0000 M35 4000000 p7 p1 300 N 
1027.0000 M36 4000000 p30 p16 300 N 
1060.0000 M37 4000000 p11 p39 300 N 
1085.0000 M38 4000000 p31 p38 300 N 
1115.0000 M39 4000000 p2 p3 300 N 
1144.0000 M40 4000000 p4 p3 300 N 
1176.0000 M41 4000000 p9 p35 300 N 
1202.0000 M42 4000000 p4 p8 300 N 
1235.0000 M43 4000000 p25 p26 300 N 
1264.0000 M44 4000000 p2 p31 300 N 
1295.0000 M45 4000000 p44 p1 300 N 
1322.0000 M46 4000000 p16 p38 300 N 
1348.0000 M47 4000000 p33 p2 300 N 
1377.0000 M48 4000000 p44 p11 300 N 
1409.0000 M49 4000000 p21 p4 300 N 
1442.0000 M50 4000000 p36 p8 300 N 
1472.0000 M51 4000000 p17 p11 300 N 
1505.0000 M52 4000000 p11 p33 300 N 
1531.0000 M53 4000000 p6 p42 300 N 
1563.0000 M54 4000000 p26 p6 300 N 
1596.0000 M55 4000000 p0 p25 300 N 
1627.0000 M56 4000000 p11 p5 300 N 
1654.0000 M57 4000000 p22 p19 300 N 
1686.0000 M58 4000000 p37 p7 300 N 
1715.0000 M59 4000000 p8 p20 300 N 
1740.0000 M60 4000000 p3 p38 300 N 
1772.0000 M61 4000000 p32 p5 300 N 
1805.0000 M62 4000000 p7 p12 300 N 
1836.0000 M63 4000000 p42 p9 300 N 
1869.0000 M64 4000000 p5 p42 300 N 
