# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
131.8000 M2 5000000 2 70.8000 p13 p5 298 N p13->p37->p5
184.0000 M6 5000000 1 10.0000 p15 p30 299 N p15->p30
214.5000 M7 5000000 1 14.5000 p22 p28 299 N p22->p28
333.3000 M3 5000000 2 247.3000 p33 p29 295 N p33->p22->p29
386.0000 M13 5000000 1 20.0000 p24 p31 299 N p24->p31
413.6000 M12 5000000 2 73.6000 p38 p37 298 N p38->p45->p37
417.7000 M11 5000000 2 103.7000 p13 p22 298 N p13->p55->p22
477.8000 M10 5000000 3 191.8000 p12 p44 296 N p12->p4->p55->p44
544.7000 M1 5000000 3 512.7000 p7 p54 291 N p7->p3->p11->p54
648.1000 M9 5000000 3 387.1000 p44 p19 293 N p44->p50->p25->p19
654.0000 M18 5000000 5 136.0000 p14 p31 297 N p14->p12->p48->p32->p27->p31
704.5000 M24 5000000 1 16.5000 p30 p9 299 N p30->p9
706.2000 M5 5000000 4 564.2000 p49 p18 290 N p49->p26->p4->p3->p18
773.9000 M19 5000000 1 229.9000 p40 p50 296 N p40->p50
787.8000 M15 5000000 2 367.8000 p1 p28 293 N p1->p43->p28
815.0000 M28 5000000 1 12.0000 p48 p32 299 N p48->p32
824.6000 M8 5000000 2 596.6000 p23 p5 290 N p23->p8->p5
853.4000 M4 5000000 8 739.4000 p29 p16 287 N p29->p58->p45->p30->p48->p32->p27->p33->p16
932.9000 M17 5000000 3 446.9000 p2 p32 292 N p2->p5->p28->p32
934.0000 M32 5000000 1 15.0000 p22 p40 299 N p22->p40
1003.3000 M29 5000000 2 169.3000 p23 p41 297 N p23->p2->p41
1063.0000 M20 5000000 3 492.0000 p38 p19 291 N p38->p55->p47->p19
1096.5000 M23 5000000 5 433.5000 p36 p14 292 N p36->p49->p41->p44->p42->p14
1103.5000 M34 5000000 3 123.5000 p5 p38 297 N p5->p46->p9->p38
1123.5000 M35 5000000 2 109.5000 p32 p48 298 N p32->p27->p48
1149.8000 M38 5000000 1 41.8000 p14 p44 299 N p14->p44
1194.1000 M25 5000000 2 472.1000 p15 p33 292 N p15->p34->p33
1194.2000 M14 5000000 2 802.2000 p29 p18 286 N p29->p5->p18
1203.4000 M22 5000000 4 568.4000 p53 p58 290 N p53->p46->p9->p44->p58
1213.1000 M31 5000000 2 325.1000 p37 p3 294 N p37->p57->p3
1214.2000 M21 5000000 2 610.2000 p17 p24 289 N p17->p47->p24
1223.2000 M33 5000000 1 270.2000 p18 p3 295 N p18->p3
1226.8000 M16 5000000 2 774.8000 p52 p35 287 N p52->p26->p35
1227.6000 M37 5000000 1 153.6000 p41 p49 297 N p41->p49
1247.8000 M30 5000000 3 388.8000 p52 p19 293 N p52->p2->p39->p19
