# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
52.1000 M1 5000000 2 20.1000 p0 p34 299 N p0->p37->p34
71.0000 M2 5000000 1 10.0000 p35 p4 299 N p35->p4
329.8000 M5 5000000 2 187.8000 p22 p28 296 N p22->p32->p28
430.0000 M15 5000000 1 10.0000 p5 p2 299 N p5->p2
518.9000 M8 5000000 2 290.9000 p35 p8 295 N p35->p26->p8
605.0000 M3 5000000 2 519.0000 p1 p38 291 N p1->p21->p38
628.0000 M7 5000000 2 428.0000 p7 p31 292 N p7->p4->p31
678.8000 M11 5000000 1 364.8000 p4 p16 293 N p4->p16
692.5000 M10 5000000 2 406.5000 p28 p18 293 N p28->p9->p18
708.9000 M23 5000000 2 45.9000 p6 p37 299 N p6->p4->p37
751.1000 M4 5000000 2 637.1000 p26 p15 289 N p26->p10->p15
769.7000 M26 5000000 1 22.7000 p21 p23 299 N p21->p23
813.0000 M19 5000000 4 269.0000 p35 p33 295 N p35->p17->p0->p10->p33
817.4000 M25 5000000 2 95.4000 p26 p25 298 N p26->p35->p25
830.9000 M12 5000000 5 490.9000 p17 p1 291 N p17->p35->p26->p10->p0->p1
844.0000 M29 5000000 1 10.0000 p21 p6 299 N p21->p6
989.5000 M9 5000000 3 728.5000 p3 p30 287 N p3->p24->p19->p30
1027.2000 M34 5000000 1 54.2000 p32 p37 299 N p32->p37
1043.9000 M16 5000000 3 591.9000 p28 p20 290 N p28->p22->p34->p20
1097.3000 M14 5000000 1 705.3000 p11 p2 288 N p11->p2
1097.3000 M38 5000000 1 12.3000 p24 p25 299 N p24->p25
1137.7000 M27 5000000 5 364.7000 p33 p38 293 N p33->p18->p39->p31->p6->p38
1186.0000 M41 5000000 1 10.0000 p38 p22 299 N p38->p22
1189.2000 M35 5000000 2 191.2000 p24 p32 296 N p24->p7->p32
1190.8000 M17 5000000 1 704.8000 p5 p18 288 N p5->p18
1254.9000 M32 5000000 2 339.9000 p24 p17 294 N p24->p7->p17
1300.6000 M13 5000000 1 934.6000 p16 p8 284 N p16->p8
1335.8000 M21 5000000 3 731.8000 p37 p0 287 N p37->p15->p28->p0
1362.5000 M39 5000000 4 247.5000 p18 p38 295 N p18->p24->p7->p27->p38
1418.4000 M20 5000000 2 847.4000 p11 p28 285 N p11->p21->p28
1442.3000 M22 5000000 2 807.3000 p4 p20 286 N p4->p12->p20
1456.6000 M43 5000000 2 221.6000 p0 p26 296 N p0->p17->p26
1639.7000 M31 5000000 3 751.7000 p11 p8 287 N p11->p26->p36->p8
1649.7000 M6 5000000 4 1475.7000 p28 p36 275 N p28->p8->p4->p8->p36
1667.6000 M44 5000000 4 403.6000 p21 p7 293 N p21->p20->p19->p14->p7
1685.6000 M30 5000000 1 826.6000 p35 p33 286 N p35->p33
1735.3000 M28 5000000 2 932.3000 p36 p18 284 N p36->p37->p18
1745.2000 M33 5000000 1 798.2000 p16 p35 286 N p16->p35
1770.8000 M60 5000000 1 39.8000 p38 p33 299 N p38->p33
1780.8000 M46 5000000 2 458.8000 p16 p33 292 N p16->p38->p33
1800.5000 M61 5000000 1 36.5000 p34 p7 299 N p34->p7
1812.1000 M52 5000000 1 318.1000 p11 p33 294 N p11->p33
1814.0000 M42 5000000 1 612.0000 p5 p0 289 N p5->p0
1826.1000 M56 5000000 2 217.1000 p12 p5 296 N p12->p30->p5
1833.5000 M50 5000000 3 391.5000 p15 p0 293 N p15->p28->p37->p0
1843.6000 M37 5000000 1 783.6000 p35 p0 286 N p35->p0
1852.9000 M36 5000000 1 825.9000 p5 p27 286 N p5->p27
1865.6000 M47 5000000 2 517.6000 p26 p18 291 N p26->p15->p18
1885.6000 M48 5000000 3 508.6000 p10 p30 291 N p10->p17->p15->p30
1888.0000 M62 5000000 1 98.0000 p18 p17 298 N p18->p17
1909.2000 M63 5000000 1 92.2000 p36 p14 298 N p36->p14
1939.8000 M55 5000000 2 363.8000 p2 p6 293 N p2->p25->p6
1979.7000 M65 5000000 2 102.7000 p20 p35 298 N p20->p16->p35
2066.2000 M54 5000000 2 516.2000 p35 p24 291 N p35->p32->p24
2076.2000 M45 5000000 1 781.2000 p32 p24 286 N p32->p24
2083.3000 M68 5000000 1 118.3000 p25 p7 298 N p25->p7
2104.9000 M58 5000000 1 437.9000 p11 p24 292 N p11->p24
2108.1000 M51 5000000 3 641.1000 p2 p10 289 N p2->p25->p22->p10
2228.1000 M40 5000000 2 1084.1000 p9 p34 281 N p9->p18->p34
2235.0000 M76 5000000 1 20.0000 p15 p10 299 N p15->p10
2237.8000 M69 5000000 2 240.8000 p20 p3 295 N p20->p16->p3
2295.3000 M66 5000000 2 386.3000 p28 p4 293 N p28->p1->p4
2301.3000 M70 5000000 3 270.3000 p28 p26 295 N p28->p13->p30->p26
2385.7000 M74 5000000 1 236.7000 p9 p6 296 N p9->p6
2394.9000 M64 5000000 3 545.9000 p11 p7 290 N p11->p32->p34->p7
2395.7000 M49 5000000 2 986.7000 p25 p9 283 N p25->p6->p9
2412.8000 M73 5000000 3 289.8000 p10 p35 295 N p10->p22->p12->p35
2421.5000 M81 5000000 3 65.5000 p30 p3 298 N p30->p35->p26->p3
2435.8000 M77 5000000 4 188.8000 p19 p0 296 N p19->p39->p21->p36->p0
2471.1000 M78 5000000 2 199.1000 p23 p2 296 N p23->p7->p2
2545.0000 M87 5000000 1 10.0000 p2 p7 299 N p2->p7
2624.8000 M84 5000000 2 168.8000 p28 p22 297 N p28->p37->p22
2631.3000 M72 5000000 3 537.3000 p12 p9 291 N p12->p2->p15->p9
2634.9000 M57 5000000 2 993.9000 p27 p37 283 N p27->p35->p37
2635.3000 M86 5000000 2 127.3000 p9 p10 297 N p9->p36->p10
2716.6000 M91 5000000 1 62.6000 p15 p5 298 N p15->p5
2733.4000 M71 5000000 2 671.4000 p2 p6 288 N p2->p10->p6
2766.1000 M79 5000000 1 469.1000 p28 p29 292 N p28->p29
2813.1000 M90 5000000 2 186.1000 p37 p14 296 N p37->p28->p14
2827.7000 M24 5000000 2 2139.7000 p36 p2 264 N p36->p4->p2
2893.3000 M85 5000000 5 410.3000 p30 p16 293 N p30->p4->p13->p14->p3->p16
2921.2000 M83 5000000 2 498.2000 p34 p3 291 N p34->p33->p3
2934.9000 M80 5000000 2 603.9000 p14 p25 289 N p14->p27->p25
2941.0000 M100 5000000 2 20.0000 p15 p2 299 N p15->p10->p2
3030.8000 M67 5000000 2 1090.8000 p8 p23 281 N p8->p24->p23
3080.2000 M82 5000000 2 690.2000 p32 p20 288 N p32->p21->p20
3084.8000 M53 5000000 1 1560.8000 p29 p37 273 N p29->p37
3090.2000 M59 5000000 1 1391.2000 p21 p20 276 N p21->p20
3137.6000 M88 5000000 2 573.6000 p38 p34 290 N p38->p22->p34
3174.5000 M92 5000000 2 486.5000 p10 p20 291 N p10->p19->p20
3186.5000 M95 5000000 2 401.5000 p9 p0 293 N p9->p35->p0
3235.1000 M110 5000000 1 23.1000 p36 p11 299 N p36->p11
3298.0000 M112 5000000 1 28.0000 p24 p4 299 N p24->p4
3300.6000 M107 5000000 2 173.6000 p37 p21 297 N p37->p18->p21
3360.1000 M94 5000000 1 604.1000 p19 p18 289 N p19->p18
3405.3000 M99 5000000 3 509.3000 p38 p23 291 N p38->p14->p11->p23
3498.1000 M93 5000000 3 776.1000 p10 p17 287 N p10->p15->p2->p17
3498.9000 M97 5000000 1 654.9000 p16 p12 289 N p16->p12
3510.0000 M120 5000000 1 11.0000 p13 p31 299 N p13->p31
3520.2000 M103 5000000 2 509.2000 p19 p29 291 N p19->p21->p29
3576.3000 M122 5000000 1 14.3000 p23 p35 299 N p23->p35
3586.3000 M121 5000000 1 56.3000 p26 p35 299 N p26->p35
3618.2000 M101 5000000 2 664.2000 p32 p22 288 N p32->p11->p22
3649.0000 M98 5000000 1 779.0000 p22 p5 287 N p22->p5
3772.2000 M119 5000000 3 302.2000 p36 p11 294 N p36->p12->p16->p11
3782.2000 M123 5000000 2 186.2000 p1 p5 296 N p1->p16->p5
3861.2000 M108 5000000 2 706.2000 p0 p6 288 N p0->p10->p6
3861.8000 M111 5000000 2 621.8000 p13 p4 289 N p13->p28->p4
3891.3000 M96 5000000 2 1078.3000 p7 p6 282 N p7->p10->p6
3916.5000 M118 5000000 4 471.5000 p31 p32 292 N p31->p1->p39->p38->p32
3929.6000 M134 5000000 1 15.6000 p28 p4 299 N p28->p4
3950.3000 M131 5000000 2 121.3000 p17 p25 297 N p17->p15->p25
3953.0000 M109 5000000 2 768.0000 p2 p4 287 N p2->p11->p4
3973.3000 M116 5000000 1 586.3000 p9 p13 290 N p9->p13
4047.3000 M127 5000000 3 325.3000 p37 p2 294 N p37->p24->p9->p2
4072.3000 M114 5000000 1 739.3000 p6 p26 287 N p6->p26
4181.9000 M106 5000000 2 1085.9000 p1 p0 281 N p1->p25->p0
4204.0000 M135 5000000 2 258.0000 p28 p25 295 N p28->p29->p25
4271.3000 M129 5000000 2 495.3000 p36 p9 291 N p36->p27->p9
4312.4000 M125 5000000 2 650.4000 p26 p9 289 N p26->p38->p9
4319.3000 M141 5000000 1 198.3000 p32 p19 296 N p32->p19
4371.3000 M139 5000000 3 309.3000 p8 p15 294 N p8->p5->p25->p15
4377.6000 M130 5000000 2 575.6000 p13 p18 290 N p13->p9->p18
4410.6000 M102 5000000 1 1425.6000 p0 p1 276 N p0->p1
4486.3000 M146 5000000 2 209.3000 p13 p37 296 N p13->p10->p37
4486.4000 M137 5000000 1 481.4000 p16 p11 291 N p16->p11
4492.0000 M153 5000000 1 10.0000 p28 p2 299 N p28->p2
4502.0000 M143 5000000 1 321.0000 p19 p28 294 N p19->p28
4552.0000 M155 5000000 1 10.0000 p2 p28 299 N p2->p28
4614.1000 M113 5000000 2 1313.1000 p5 p20 278 N p5->p37->p20
4614.7000 M145 5000000 2 369.7000 p26 p17 293 N p26->p14->p17
4647.0000 M158 5000000 1 20.0000 p23 p35 299 N p23->p35
4673.4000 M148 5000000 3 338.4000 p20 p1 294 N p20->p27->p31->p1
4719.8000 M117 5000000 2 1307.8000 p4 p3 278 N p4->p37->p3
4751.1000 M138 5000000 3 715.1000 p10 p8 288 N p10->p16->p11->p8
