# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
131.8000 M2 5000000 2 70.8000 p13 p5 298 N p13->p37->p5
184.0000 M6 5000000 1 10.0000 p15 p30 299 N p15->p30
210.0000 M7 5000000 1 10.0000 p22 p28 299 N p22->p28
324.2000 M8 5000000 3 96.2000 p23 p5 298 N p23->p46->p7->p5
333.3000 M3 5000000 2 247.3000 p33 p29 295 N p33->p22->p29
355.3000 M11 5000000 4 41.3000 p13 p22 299 N p13->p4->p12->p55->p22
376.0000 M13 5000000 1 10.0000 p24 p31 299 N p24->p31
413.6000 M12 5000000 2 73.6000 p38 p37 298 N p38->p45->p37
477.8000 M10 5000000 2 191.8000 p12 p44 296 N p12->p55->p44
524.6000 M16 5000000 2 72.6000 p52 p35 298 N p52->p49->p35
544.7000 M1 5000000 3 512.7000 p7 p54 291 N p7->p53->p11->p54
634.0000 M18 5000000 1 116.0000 p14 p31 298 N p14->p31
648.1000 M9 5000000 2 387.1000 p44 p19 293 N p44->p25->p19
698.0000 M24 5000000 1 10.0000 p30 p9 299 N p30->p9
767.9000 M19 5000000 1 223.9000 p40 p50 296 N p40->p50
769.7000 M15 5000000 2 349.7000 p1 p28 294 N p1->p43->p28
813.0000 M28 5000000 1 10.0000 p48 p32 299 N p48->p32
918.0000 M31 5000000 2 30.0000 p37 p3 299 N p37->p33->p3
929.0000 M32 5000000 1 10.0000 p22 p40 299 N p22->p40
1018.0000 M29 5000000 1 184.0000 p23 p41 296 N p23->p41
1059.0000 M23 5000000 4 396.0000 p36 p14 293 N p36->p49->p41->p45->p14
1076.5000 M17 5000000 1 590.5000 p2 p32 290 N p2->p32
1087.9000 M34 5000000 1 107.9000 p5 p38 298 N p5->p38
1126.2000 M37 5000000 2 52.2000 p41 p49 299 N p41->p39->p49
1138.1000 M38 5000000 2 30.1000 p14 p44 299 N p14->p57->p44
1184.7000 M20 5000000 3 613.7000 p38 p19 289 N p38->p7->p28->p19
1191.9000 M25 5000000 3 469.9000 p15 p33 292 N p15->p43->p34->p33
1194.2000 M14 5000000 3 802.2000 p29 p18 286 N p29->p52->p5->p18
1203.3000 M36 5000000 3 157.3000 p16 p58 297 N p16->p12->p26->p58
1218.0000 M21 5000000 2 614.0000 p17 p24 289 N p17->p47->p24
1228.1000 M33 5000000 1 275.1000 p18 p3 295 N p18->p3
1264.5000 M22 5000000 2 629.5000 p53 p58 289 N p53->p9->p58
1320.0000 M45 5000000 1 10.0000 p9 p28 299 N p9->p28
1348.0000 M46 5000000 1 10.0000 p48 p27 299 N p48->p27
1358.0000 M35 5000000 1 344.0000 p32 p48 294 N p32->p48
1463.0000 M49 5000000 4 45.0000 p2 p49 299 N p2->p43->p44->p26->p49
