# time  ID  size  fromHost  toHost  TTL  isResponse
32.0000 M1 5000000 p7 p54 300 N 
61.0000 M2 5000000 p13 p5 300 N 
86.0000 M3 5000000 p33 p29 300 N 
114.0000 M4 5000000 p29 p16 300 N 
142.0000 M5 5000000 p49 p18 300 N 
174.0000 M6 5000000 p15 p30 300 N 
200.0000 M7 5000000 p22 p28 300 N 
228.0000 M8 5000000 p23 p5 300 N 
261.0000 M9 5000000 p44 p19 300 N 
286.0000 M10 5000000 p12 p44 300 N 
314.0000 M11 5000000 p13 p22 300 N 
340.0000 M12 5000000 p38 p37 300 N 
366.0000 M13 5000000 p24 p31 300 N 
392.0000 M14 5000000 p29 p18 300 N 
420.0000 M15 5000000 p1 p28 300 N 
452.0000 M16 5000000 p52 p35 300 N 
486.0000 M17 5000000 p2 p32 300 N 
518.0000 M18 5000000 p14 p31 300 N 
544.0000 M19 5000000 p40 p50 300 N 
571.0000 M20 5000000 p38 p19 300 N 
604.0000 M21 5000000 p17 p24 300 N 
635.0000 M22 5000000 p53 p58 300 N 
663.0000 M23 5000000 p36 p14 300 N 
688.0000 M24 5000000 p30 p9 300 N 
722.0000 M25 5000000 p15 p33 300 N 
747.0000 M26 5000000 p58 p51 300 N 
773.0000 M27 5000000 p7 p9 300 N 
803.0000 M28 5000000 p48 p32 300 N 
834.0000 M29 5000000 p23 p41 300 N 
859.0000 M30 5000000 p52 p19 300 N 
888.0000 M31 5000000 p37 p3 300 N 
919.0000 M32 5000000 p22 p40 300 N 
953.0000 M33 5000000 p18 p3 300 N 
980.0000 M34 5000000 p5 p38 300 N 
1014.0000 M35 5000000 p32 p48 300 N 
1046.0000 M36 5000000 p16 p58 300 N 
1074.0000 M37 5000000 p41 p49 300 N 
1108.0000 M38 5000000 p14 p44 300 N 
1136.0000 M39 5000000 p19 p46 300 N 
1164.0000 M40 5000000 p20 p8 300 N 
1198.0000 M41 5000000 p55 p2 300 N 
1230.0000 M42 5000000 p30 p14 300 N 
1255.0000 M43 5000000 p35 p54 300 N 
1285.0000 M44 5000000 p2 p53 300 N 
1310.0000 M45 5000000 p9 p28 300 N 
1338.0000 M46 5000000 p48 p27 300 N 
1365.0000 M47 5000000 p29 p21 300 N 
1391.0000 M48 5000000 p23 p9 300 N 
1418.0000 M49 5000000 p2 p49 300 N 
1447.0000 M50 5000000 p57 p24 300 N 
1477.0000 M51 5000000 p11 p1 300 N 
1510.0000 M52 5000000 p45 p1 300 N 
1536.0000 M53 5000000 p9 p8 300 N 
1568.0000 M54 5000000 p26 p27 300 N 
1601.0000 M55 5000000 p10 p47 300 N 
1632.0000 M56 5000000 p15 p14 300 N 
1659.0000 M57 5000000 p3 p6 300 N 
1691.0000 M58 5000000 p6 p43 300 N 
1720.0000 M59 5000000 p43 p54 300 N 
1745.0000 M60 5000000 p30 p37 300 N 
1777.0000 M61 5000000 p42 p22 300 N 
1810.0000 M62 5000000 p47 p53 300 N 
1841.0000 M63 5000000 p14 p32 300 N 
1874.0000 M64 5000000 p52 p28 300 N 
1899.0000 M65 5000000 p11 p32 300 N 
1932.0000 M66 5000000 p40 p54 300 N 
1965.0000 M67 5000000 p18 p33 300 N 
1993.0000 M68 5000000 p38 p56 300 N 
2022.0000 M69 5000000 p34 p57 300 N 
2048.0000 M70 5000000 p26 p57 300 N 
2078.0000 M71 5000000 p48 p31 300 N 
2112.0000 M72 5000000 p9 p46 300 N 
2137.0000 M73 5000000 p23 p19 300 N 
2164.0000 M74 5000000 p47 p35 300 N 
2194.0000 M75 5000000 p57 p14 300 N 
2228.0000 M76 5000000 p5 p26 300 N 
2259.0000 M77 5000000 p38 p6 300 N 
2288.0000 M78 5000000 p40 p41 300 N 
2320.0000 M79 5000000 p37 p52 300 N 
2353.0000 M80 5000000 p7 p24 300 N 
2387.0000 M81 5000000 p53 p26 300 N 
2416.0000 M82 5000000 p10 p7 300 N 
2445.0000 M83 5000000 p2 p44 300 N 
2479.0000 M84 5000000 p2 p34 300 N 
2506.0000 M85 5000000 p18 p38 300 N 
2535.0000 M86 5000000 p18 p11 300 N 
2566.0000 M87 5000000 p1 p47 300 N 
2592.0000 M88 5000000 p26 p30 300 N 
2626.0000 M89 5000000 p40 p13 300 N 
2653.0000 M90 5000000 p33 p7 300 N 
2685.0000 M91 5000000 p26 p38 300 N 
2714.0000 M92 5000000 p52 p35 300 N 
2743.0000 M93 5000000 p16 p38 300 N 
2776.0000 M94 5000000 p31 p55 300 N 
2801.0000 M95 5000000 p38 p16 300 N 
2829.0000 M96 5000000 p9 p20 300 N 
2854.0000 M97 5000000 p16 p55 300 N 
2886.0000 M98 5000000 p53 p38 300 N 
2916.0000 M99 5000000 p47 p35 300 N 
2949.0000 M100 5000000 p13 p43 300 N 
2981.0000 M101 5000000 p37 p42 300 N 
3009.0000 M102 5000000 p52 p27 300 N 
3034.0000 M103 5000000 p29 p0 300 N 
3066.0000 M104 5000000 p39 p51 300 N 
3098.0000 M105 5000000 p39 p35 300 N 
3123.0000 M106 5000000 p4 p9 300 N 
3156.0000 M107 5000000 p58 p6 300 N 
3189.0000 M108 5000000 p13 p24 300 N 
3219.0000 M109 5000000 p13 p14 300 N 
3246.0000 M110 5000000 p14 p47 300 N 
3274.0000 M111 5000000 p34 p6 300 N 
3304.0000 M112 5000000 p51 p29 300 N 
3335.0000 M113 5000000 p29 p40 300 N 
3367.0000 M114 5000000 p40 p41 300 N 
3395.0000 M115 5000000 p10 p49 300 N 
3421.0000 M116 5000000 p16 p51 300 N 
3446.0000 M117 5000000 p45 p22 300 N 
3479.0000 M118 5000000 p40 p26 300 N 
3504.0000 M119 5000000 p45 p20 300 N 
3533.0000 M120 5000000 p14 p2 300 N 
3564.0000 M121 5000000 p30 p48 300 N 
3598.0000 M122 5000000 p50 p53 300 N 
3631.0000 M123 5000000 p38 p20 300 N 
3657.0000 M124 5000000 p16 p54 300 N 
3688.0000 M125 5000000 p51 p36 300 N 
3715.0000 M126 5000000 p52 p5 300 N 
3746.0000 M127 5000000 p48 p3 300 N 
3773.0000 M128 5000000 p52 p35 300 N 
3803.0000 M129 5000000 p30 p50 300 N 
