# time  ID  size  fromHost  toHost  TTL  isResponse
3939.0000 M134 3000000 p20 p18 300 N 
3966.0000 M135 3000000 p36 p45 300 N 
3994.0000 M136 3000000 p7 p36 300 N 
4021.0000 M137 3000000 p22 p29 300 N 
4051.0000 M138 3000000 p7 p32 300 N 
4080.0000 M139 3000000 p3 p33 300 N 
4110.0000 M140 3000000 p14 p4 300 N 
4135.0000 M141 3000000 p5 p43 300 N 
4164.0000 M142 3000000 p43 p25 300 N 
4194.0000 M143 3000000 p43 p22 300 N 
4224.0000 M144 3000000 p38 p43 300 N 
4256.0000 M145 3000000 p2 p13 300 N 
4281.0000 M146 3000000 p43 p3 300 N 
4315.0000 M147 3000000 p30 p14 300 N 
4345.0000 M148 3000000 p0 p2 300 N 
4378.0000 M149 3000000 p5 p20 300 N 
4408.0000 M150 3000000 p42 p36 300 N 
4442.0000 M151 3000000 p22 p47 300 N 
4474.0000 M152 3000000 p3 p38 300 N 
4500.0000 M153 3000000 p12 p1 300 N 
4527.0000 M154 3000000 p42 p43 300 N 
4553.0000 M155 3000000 p36 p9 300 N 
4586.0000 M156 3000000 p7 p24 300 N 
4611.0000 M157 3000000 p3 p2 300 N 
4640.0000 M158 3000000 p10 p45 300 N 
4667.0000 M159 3000000 p28 p40 300 N 
4694.0000 M160 3000000 p15 p12 300 N 
4720.0000 M161 3000000 p25 p35 300 N 
4745.0000 M162 3000000 p24 p12 300 N 
4771.0000 M163 3000000 p19 p30 300 N 
4805.0000 M164 3000000 p24 p33 300 N 
4836.0000 M165 3000000 p0 p13 300 N 
4868.0000 M166 3000000 p3 p24 300 N 
4901.0000 M167 3000000 p44 p25 300 N 
4929.0000 M168 3000000 p5 p10 300 N 
4960.0000 M169 3000000 p27 p18 300 N 
4985.0000 M170 3000000 p16 p38 300 N 
5010.0000 M171 3000000 p8 p4 300 N 
5043.0000 M172 3000000 p32 p26 300 N 
5077.0000 M173 3000000 p37 p21 300 N 
5110.0000 M174 3000000 p17 p18 300 N 
5141.0000 M175 3000000 p25 p43 300 N 
5171.0000 M176 3000000 p22 p3 300 N 
5205.0000 M177 3000000 p31 p6 300 N 
5235.0000 M178 3000000 p36 p5 300 N 
5266.0000 M179 3000000 p12 p20 300 N 
5293.0000 M180 3000000 p15 p14 300 N 
5324.0000 M181 3000000 p26 p10 300 N 
5349.0000 M182 3000000 p29 p44 300 N 
5374.0000 M183 3000000 p6 p35 300 N 
5400.0000 M184 3000000 p14 p48 300 N 
5434.0000 M185 3000000 p24 p13 300 N 
5463.0000 M186 3000000 p31 p23 300 N 
5494.0000 M187 3000000 p38 p9 300 N 
5527.0000 M188 3000000 p8 p34 300 N 
5556.0000 M189 3000000 p33 p38 300 N 
5585.0000 M190 3000000 p41 p38 300 N 
5610.0000 M191 3000000 p32 p3 300 N 
5635.0000 M192 3000000 p6 p32 300 N 
5668.0000 M193 3000000 p20 p9 300 N 
5693.0000 M194 3000000 p33 p21 300 N 
5721.0000 M195 3000000 p32 p27 300 N 
5755.0000 M196 3000000 p27 p2 300 N 
5781.0000 M197 3000000 p3 p32 300 N 
5806.0000 M198 3000000 p29 p18 300 N 
5836.0000 M199 3000000 p40 p14 300 N 
5870.0000 M200 3000000 p28 p22 300 N 
5903.0000 M201 3000000 p22 p38 300 N 
5930.0000 M202 3000000 p31 p17 300 N 
5957.0000 M203 3000000 p35 p2 300 N 
5982.0000 M204 3000000 p14 p3 300 N 
6015.0000 M205 3000000 p1 p10 300 N 
6041.0000 M206 3000000 p15 p10 300 N 
6075.0000 M207 3000000 p24 p34 300 N 
6109.0000 M208 3000000 p35 p36 300 N 
6138.0000 M209 3000000 p21 p25 300 N 
6172.0000 M210 3000000 p37 p36 300 N 
6199.0000 M211 3000000 p2 p34 300 N 
6233.0000 M212 3000000 p12 p40 300 N 
6265.0000 M213 3000000 p6 p0 300 N 
6294.0000 M214 3000000 p39 p1 300 N 
6320.0000 M215 3000000 p12 p18 300 N 
6350.0000 M216 3000000 p23 p24 300 N 
6378.0000 M217 3000000 p45 p18 300 N 
6403.0000 M218 3000000 p27 p24 300 N 
6437.0000 M219 3000000 p11 p13 300 N 
6464.0000 M220 3000000 p27 p37 300 N 
6498.0000 M221 3000000 p28 p6 300 N 
6531.0000 M222 3000000 p2 p18 300 N 
6565.0000 M223 3000000 p15 p35 300 N 
6597.0000 M224 3000000 p39 p22 300 N 
6628.0000 M225 3000000 p42 p12 300 N 
6661.0000 M226 3000000 p36 p5 300 N 
6687.0000 M227 3000000 p48 p39 300 N 
6713.0000 M228 3000000 p16 p37 300 N 
6744.0000 M229 3000000 p4 p1 300 N 
6777.0000 M230 3000000 p21 p27 300 N 
6808.0000 M231 3000000 p36 p26 300 N 
6836.0000 M232 3000000 p47 p29 300 N 
6869.0000 M233 3000000 p8 p11 300 N 
6902.0000 M234 3000000 p0 p45 300 N 
6932.0000 M235 3000000 p45 p18 300 N 
6961.0000 M236 3000000 p4 p22 300 N 
6994.0000 M237 3000000 p32 p31 300 N 
7028.0000 M238 3000000 p8 p3 300 N 
7057.0000 M239 3000000 p28 p41 300 N 
7082.0000 M240 3000000 p37 p26 300 N 
7113.0000 M241 3000000 p15 p12 300 N 
7138.0000 M242 3000000 p31 p7 300 N 
7163.0000 M243 3000000 p5 p46 300 N 
7196.0000 M244 3000000 p0 p36 300 N 
7229.0000 M245 3000000 p26 p10 300 N 
7259.0000 M246 3000000 p6 p4 300 N 
7284.0000 M247 3000000 p7 p37 300 N 
7309.0000 M248 3000000 p16 p44 300 N 
7338.0000 M249 3000000 p39 p29 300 N 
7369.0000 M250 3000000 p46 p17 300 N 
7402.0000 M251 3000000 p4 p40 300 N 
7434.0000 M252 3000000 p4 p26 300 N 
7464.0000 M253 3000000 p13 p30 300 N 
7498.0000 M254 3000000 p0 p42 300 N 
7525.0000 M255 3000000 p5 p33 300 N 
7553.0000 M256 3000000 p32 p37 300 N 
7587.0000 M257 3000000 p41 p24 300 N 
7618.0000 M258 3000000 p13 p35 300 N 
7651.0000 M259 3000000 p7 p10 300 N 
7677.0000 M260 3000000 p42 p5 300 N 
7711.0000 M261 3000000 p12 p29 300 N 
7741.0000 M262 3000000 p34 p39 300 N 
7773.0000 M263 3000000 p11 p36 300 N 
7802.0000 M264 3000000 p15 p17 300 N 
7834.0000 M265 3000000 p18 p14 300 N 
7865.0000 M266 3000000 p32 p20 300 N 
7892.0000 M267 3000000 p23 p30 300 N 
7921.0000 M268 3000000 p5 p19 300 N 
7948.0000 M269 3000000 p21 p47 300 N 
7981.0000 M270 3000000 p43 p6 300 N 
8007.0000 M271 3000000 p24 p16 300 N 
8034.0000 M272 3000000 p6 p44 300 N 
8064.0000 M273 3000000 p10 p20 300 N 
8091.0000 M274 3000000 p40 p27 300 N 
8119.0000 M275 3000000 p18 p3 300 N 
8146.0000 M276 3000000 p9 p26 300 N 
8177.0000 M277 3000000 p32 p31 300 N 
8202.0000 M278 3000000 p10 p22 300 N 
